name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.tools.ant.AntClassLoader,56,2,2,51,169,1200,37,16,35,0.848863636,1842,0.875,2,0.409638554,0.155844156,1,5,31.60714286,14,2.1964,51,159,2550,6.235294342,4,7.843137264,32.12747574,40.3679657,1195.5,0.937647045,420.0833435,16.47385597,0.240112994,0.002028691,37,16,53,0.279778235,0.059205397,-0.037817057,0.003312147,-0.074589726,0.018029424,0.08576903,0.209094035,-0.36422614,0.212684128,0.189528833,0.180876568,-0.054706654,-0.288928998,-0.118792228,0.052422417,0.233582988,0.008465972,-0.160705291,-0.051282067,0.141311189,0.238768659,0.162462955,0.144256182,-0.237801647,-0.116354329,0.024038307,0.287596775,-0.251359924,0.187780272,-0.225490899,-0.002831615,1
org.apache.tools.ant.AntTypeDefinition,21,1,2,14,47,124,10,4,18,0.7,575,0.857142857,0,0,0.325396825,0,0,26.04761905,10,2.619,14,35,182,19.23077011,1,7.142857075,27.56244659,59.25925827,73.5,0.807692289,17.83333397,9.798534393,0.216422661,1.74E-05,10,4,14,0.154877997,-0.097445396,-0.071526694,0.110366227,-0.321702316,0.39263934,-0.159730931,0.026080628,-0.073024547,-0.152224038,-0.067300424,0.214311655,0.105720873,0.09767783,-0.224017088,-0.101767098,-0.201241316,0.011098068,-0.041100686,-0.068789846,0.084222668,-0.383545671,-0.164741333,-0.005969582,-0.038451745,0.144156304,0.315049032,0.184714079,0.072449827,0.280795048,0.059521116,0.182908744,0
org.apache.tools.ant.BuildEvent,11,2,0,17,15,13,15,3,11,0.75,97,1,3,0.2,0.220779221,0,0,7.272727273,1,0.7273,18,48,306,15.68627453,1,5.555555344,20.88716698,60.54931259,129,0.843137264,26.58333397,8.687363625,0.215462611,0.000351293,16,3,19,0.087246605,-0.062424524,-0.029267774,0.017228708,-0.185740362,0.207610469,-0.196576999,0.067751664,-0.080572849,0.08325516,-0.005899895,0.111720122,-0.048470812,-0.108396958,-0.025461915,0.026104124,0.112014791,-0.003954474,0.34591322,0.459033658,-0.10306728,0.315051526,0.263165303,0.073374426,0.381989922,-0.26718705,-0.174450257,-0.002902597,-0.045441595,0.081599583,-0.202602567,-0.012885794,0
org.apache.tools.ant.BuildException,15,4,3,499,30,0,498,1,15,0.392857143,153,1,1,0.619047619,0.322222222,1,3,9.066666667,2,0.6667,535,2175,285690,0.76131469,5,0.934579432,47.32988739,16.64647102,141757.5,0.992386878,4269.65332,1.494505644,0.162059104,0.008892546,534,1,535,0.596660075,0.522129549,-0.052429992,0.054224636,-0.125055235,0.195878388,0.211814832,-0.160836576,0.201485562,-0.002564887,0.113098045,-0.036899953,0.131327289,-0.080493241,0.298944204,0.014813933,0.024603961,-0.008780567,-0.1395631,0.045006005,0.033410052,-0.035302283,-0.108781787,0.063630802,0.050209811,0.075634567,-0.050877187,-0.095483665,0.035919099,-0.045845993,0.094454231,-0.013665187,0
org.apache.tools.ant.BuildListener,7,1,0,16,7,21,15,1,7,2,7,0,0,0,1,0,0,0,1,1,18,39,306,12.74509811,1,5.555555344,18.04478836,71.7465744,133.5,0.872548997,7,2.287581682,0.177453027,6.33E-05,17,1,18,0.090980836,-0.036693775,-0.016778074,0.022570455,-0.169470047,0.189754206,-0.158667488,0.080510051,-0.099653193,0.099728801,0.004831595,0.108985171,-0.083466381,-0.116739593,0.020298744,0.016615035,0.080643911,-0.001496362,0.307503944,0.449730656,-0.095926539,0.309622809,0.257643404,0.10051847,0.407888617,-0.250019326,-0.130411229,-0.029856063,-0.030861936,0.056299423,-0.306867542,0.10097146,1
org.apache.tools.ant.BuildLogger,4,1,0,6,4,6,5,1,4,2,4,0,0,0,0.5,0,0,0,1,1,6,5,30,16.66666603,1,16.66666603,2.196382523,60,12.5,0.833333313,2,6.666666508,0.150976909,7.11E-07,5,1,6,0.066226879,-0.006269513,-0.032102971,0.031848068,-0.159031941,0.223016339,-0.19725593,0.053534172,-0.05851599,0.07947373,-0.031588622,0.101026545,-0.036677692,-0.067426244,-0.032703207,0.034785023,0.098015199,-0.006825334,0.335735768,0.377105762,-0.093396613,0.367758374,0.244881454,0.068770188,0.452380192,-0.272519573,-0.153595317,-0.074415984,-0.030318017,0.106486799,-0.232409164,0.006942223,0
org.apache.tools.ant.ComponentHelper,39,1,0,26,154,449,13,16,26,0.878446115,1711,0.714285714,3,0,0.178947368,0,0,42.33333333,13,2.5641,26,98,650,15.07692337,2,7.692307472,29.28509903,38.11659241,276,0.849230766,188.4345245,28.98992729,0.241477273,0.002914334,13,16,29,0.179608026,-0.144480728,-0.089626343,0.123851978,-0.363755242,0.443841097,-0.278611273,0.023566703,-0.028910055,-0.252418972,-0.024935091,0.195809316,0.150407011,0.14315265,-0.335618093,-0.083172944,-0.118864853,0.016012456,-0.07821943,-0.197064136,0.063487253,-0.235428917,-0.244836086,-0.031164795,-0.157729068,0.06493936,0.087045016,0.121787988,-0.007810874,0.11061435,0.044721258,0.065596184,0
org.apache.tools.ant.DefaultLogger,18,1,4,14,42,113,7,7,12,0.890756303,356,0.857142857,0,0,0.268907563,0,0,18.38888889,11,1.7778,14,25,182,13.73626328,3,21.4285717,25.79672623,67.00223541,78.5,0.862637341,27.33333397,15.01831532,0.181333333,0.0002932,7,7,14,0.085355385,-0.096970033,-0.068876462,0.033710987,-0.197937022,0.243962838,-0.205465746,0.031997682,-0.023127204,0.044111209,0.043367272,0.095910849,-0.034462786,-0.047207029,-0.075580137,0.040264859,0.162837139,0.00488303,0.418993617,0.396411283,-0.078266052,0.439135986,0.226301166,0.114201772,0.250616789,-0.24850055,-0.095931498,-0.107395619,-0.021627805,0.018408759,0.084183639,-0.188506637,1
org.apache.tools.ant.DemuxInputStream,3,2,0,2,5,0,1,1,3,0,34,1,1,0.818181818,0.5,1,2,10,1,0.6667,2,2,2,100,1,50,16.53746796,96.72544098,0,0,0,0,0.214105793,0,1,1,2,0.12890956,-0.396496833,-0.102651371,0.003528694,-0.198588497,0.234774626,-0.102192291,0.076470333,-0.003600104,-0.000983218,0.080702511,-0.013066553,-0.146001365,0.000711856,0.083654415,-0.084624708,-0.262440802,-0.003805986,0.341087302,0.255951238,-0.08205428,0.071377807,0.078069207,0.126014401,0.258117091,-0.128274126,0.074221096,-0.139346162,0.058104828,-0.033078416,-0.507984507,0.086802558,0
org.apache.tools.ant.DemuxOutputStream,10,2,0,3,30,27,1,2,5,0.761904762,245,1,1,0.357142857,0.283333333,1,1,22.8,2,1,4,3,12,25,2,50,16.62360001,96.25935364,4.5,0.75,4,33.33333206,0.214917826,0.000337331,1,3,4,0.12890956,-0.396496833,-0.102651371,0.003528694,-0.198588497,0.234774626,-0.102192291,0.076470333,-0.003600104,-0.000983218,0.080702511,-0.013066553,-0.146001365,0.000711856,0.083654415,-0.084624708,-0.262440802,-0.003805986,0.341087302,0.255951238,-0.08205428,0.071377807,0.078069207,0.126014401,0.258117091,-0.128274126,0.074221096,-0.139346162,0.058104828,-0.033078416,-0.507984507,0.086802558,0
