name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
org.apache.tools.ant.AntClassLoader,56,2,2,51,169,1200,37,16,35,0.848863636,1842,0.875,2,0.409638554,0.155844156,1,5,31.60714286,14,2.1964,51.0,159.0,2550.0,6.235294342041016,4.0,7.843137264251709,32.12747573852539,40.36796569824219,1195.5,0.9376470446586609,420.0833435058594,16.47385597229004,0.240112994350282,0.00202869090331647,37.0,16.0,53.0,1
org.apache.tools.ant.AntTypeDefinition,21,1,2,14,47,124,10,4,18,0.7,575,0.857142857,0,0,0.325396825,0,0,26.04761905,10,2.619,14.0,35.0,182.0,19.230770111083984,1.0,7.142857074737549,27.56244659423828,59.25925827026367,73.5,0.807692289352417,17.83333396911621,9.798534393310547,0.216422660725652,1.73662956706664e-05,10.0,4.0,14.0,0
org.apache.tools.ant.BuildEvent,11,2,0,17,15,13,15,3,11,0.75,97,1,3,0.2,0.220779221,0,0,7.272727273,1,0.7273,18.0,48.0,306.0,15.686274528503418,1.0,5.55555534362793,20.88716697692871,60.549312591552734,129.0,0.843137264251709,26.58333396911621,8.687363624572754,0.215462610899873,0.00035129299185226,16.0,3.0,19.0,0
org.apache.tools.ant.BuildException,15,4,3,499,30,0,498,1,15,0.392857143,153,1,1,0.619047619,0.322222222,1,3,9.066666667,2,0.6667,535.0,2175.0,285690.0,0.7613146901130676,5.0,0.9345794320106506,47.32988739013672,16.64647102355957,141757.5,0.9923868775367737,4269.6533203125,1.4945056438446045,0.162059103908484,0.00889254589281424,534.0,1.0,535.0,0
org.apache.tools.ant.BuildListener,7,1,0,16,7,21,15,1,7,2,7,0,0,0,1,0,0,0,1,1,18.0,39.0,306.0,12.745098114013672,1.0,5.55555534362793,18.044788360595703,71.74657440185547,133.5,0.8725489974021912,7.0,2.2875816822052,0.177453027139874,6.32727955553922e-05,17.0,1.0,18.0,1
org.apache.tools.ant.BuildLogger,4,1,0,6,4,6,5,1,4,2,4,0,0,0,0.5,0,0,0,1,1,6.0,5.0,30.0,16.66666603088379,1.0,16.66666603088379,2.196382522583008,60.0,12.5,0.8333333134651184,2.0,6.666666507720947,0.150976909413854,7.1127776039786e-07,5.0,1.0,6.0,0
org.apache.tools.ant.ComponentHelper,39,1,0,26,154,449,13,16,26,0.878446115,1711,0.714285714,3,0,0.178947368,0,0,42.33333333,13,2.5641,26.0,98.0,650.0,15.076923370361328,2.0,7.692307472229004,29.285099029541016,38.11659240722656,276.0,0.8492307662963867,188.4345245361328,28.989927291870117,0.241477272727272,0.00291433418885942,13.0,16.0,29.0,0
org.apache.tools.ant.DefaultLogger,18,1,4,14,42,113,7,7,12,0.890756303,356,0.857142857,0,0,0.268907563,0,0,18.38888889,11,1.7778,14.0,25.0,182.0,13.736263275146484,3.0,21.428571701049805,25.79672622680664,67.00223541259766,78.5,0.8626373410224915,27.33333396911621,15.018315315246582,0.181333333333333,0.000293200032046671,7.0,7.0,14.0,1
org.apache.tools.ant.DemuxInputStream,3,2,0,2,5,0,1,1,3,0,34,1,1,0.818181818,0.5,1,2,10,1,0.6667,2.0,2.0,2.0,100.0,1.0,50.0,16.53746795654297,96.7254409790039,0.0,0.0,0.0,0.0,0.214105793450881,0.0,1.0,1.0,2.0,0
org.apache.tools.ant.DemuxOutputStream,10,2,0,3,30,27,1,2,5,0.761904762,245,1,1,0.357142857,0.283333333,1,1,22.8,2,1,4.0,3.0,12.0,25.0,2.0,50.0,16.623600006103516,96.25935363769531,4.5,0.75,4.0,33.33333206176758,0.214917825537294,0.000337331209148689,1.0,3.0,4.0,0
org.apache.tools.ant.Diagnostics,30,1,0,10,104,429,2,9,5,1.013793103,1038,0.8,0,0,0.108333333,0,0,33.26666667,9,1.9,13.0,20.0,156.0,12.820512771606445,3.0,23.076923370361328,29.457365036010742,55.47445297241211,68.0,0.8717948794364929,48.5,31.08974266052246,0.258948971820258,0.00555161152737624,2.0,12.0,14.0,1
org.apache.tools.ant.DirectoryScanner,63,1,2,61,144,1603,51,10,31,0.874288425,2303,1,2,0,0.213709677,0,0,35.01587302,35,3.2381,70.0,211.0,4830.0,4.368529796600342,1.0,1.4285714626312256,33.11800003051758,40.68783187866211,2309.5,0.9563146829605103,420.5,8.70600414276123,0.196645459803354,0.000815054935657994,60.0,10.0,70.0,1
org.apache.tools.ant.DynamicAttribute,1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,4.0,2.0,12.0,16.66666603088379,2.0,50.0,23.600343704223633,93.5153579711914,5.0,0.8333333134651184,1.0,8.333333015441895,0.139745170571311,3.14508470575923e-05,3.0,1.0,4.0,0
org.apache.tools.ant.DynamicAttributeNS,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,3.0,1.0,6.0,16.66666603088379,2.0,66.66666412353516,23.55727767944336,95.96491241455078,2.5,0.8333333134651184,1.0,16.66666603088379,0.139745170571311,3.14879572016131e-05,2.0,1.0,3.0,0
org.apache.tools.ant.DynamicConfigurator,0,1,0,4,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,4.0,0.0,12.0,0.0,4.0,100.0,0.5598621964454651,76.47058868408203,6.0,1.0,4.0,33.33333206176758,0.123193641618497,1.42255552079572e-06,2.0,2.0,4.0,0
org.apache.tools.ant.DynamicConfiguratorNS,0,1,0,3,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,3.0,0.0,6.0,0.0,3.0,100.0,0.38759690523147583,75.0,3.0,1.0,2.0,33.33333206176758,0.123193641618497,4.91709408275042e-07,1.0,2.0,3.0,0
org.apache.tools.ant.DynamicElement,1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,4.0,1.0,12.0,8.333333015441895,3.0,75.0,23.600343704223633,91.6387939453125,5.5,0.9166666865348816,2.0,16.66666603088379,0.139745170571311,3.14596828061687e-05,3.0,1.0,4.0,0
org.apache.tools.ant.DynamicElementNS,1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,4.0,1.0,12.0,8.333333015441895,3.0,75.0,23.901809692382812,95.36082458496094,5.5,0.9166666865348816,2.0,16.66666603088379,0.139745170571311,3.15869175856684e-05,3.0,1.0,4.0,0
org.apache.tools.ant.Executor,2,1,0,4,2,1,3,2,2,2,2,0,0,0,0.666666667,0,0,0,1,1,4.0,6.0,12.0,50.0,1.0,25.0,26.830318450927734,67.4972915649414,3.0,0.5,0.0,0.0,0.214375788146279,0.0,3.0,2.0,5.0,0
