name,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,bug
org.apache.tools.ant.AntClassLoader,51,159,2550,6.235294342,4,7.843137264,32.12747574,40.3679657,1195.5,0.937647045,420.0833435,16.47385597,0.240112994,0.002028691,37,16,53,1
org.apache.tools.ant.AntTypeDefinition,14,35,182,19.23077011,1,7.142857075,27.56244659,59.25925827,73.5,0.807692289,17.83333397,9.798534393,0.216422661,1.74E-05,10,4,14,0
org.apache.tools.ant.BuildEvent,18,48,306,15.68627453,1,5.555555344,20.88716698,60.54931259,129,0.843137264,26.58333397,8.687363625,0.215462611,0.000351293,16,3,19,0
org.apache.tools.ant.BuildException,535,2175,285690,0.76131469,5,0.934579432,47.32988739,16.64647102,141757.5,0.992386878,4269.65332,1.494505644,0.162059104,0.008892546,534,1,535,0
org.apache.tools.ant.BuildListener,18,39,306,12.74509811,1,5.555555344,18.04478836,71.7465744,133.5,0.872548997,7,2.287581682,0.177453027,6.33E-05,17,1,18,1
org.apache.tools.ant.BuildLogger,6,5,30,16.66666603,1,16.66666603,2.196382523,60,12.5,0.833333313,2,6.666666508,0.150976909,7.11E-07,5,1,6,0
org.apache.tools.ant.ComponentHelper,26,98,650,15.07692337,2,7.692307472,29.28509903,38.11659241,276,0.849230766,188.4345245,28.98992729,0.241477273,0.002914334,13,16,29,0
org.apache.tools.ant.DefaultLogger,14,25,182,13.73626328,3,21.4285717,25.79672623,67.00223541,78.5,0.862637341,27.33333397,15.01831532,0.181333333,0.0002932,7,7,14,1
org.apache.tools.ant.DemuxInputStream,2,2,2,100,1,50,16.53746796,96.72544098,0,0,0,0,0.214105793,0,1,1,2,0
org.apache.tools.ant.DemuxOutputStream,4,3,12,25,2,50,16.62360001,96.25935364,4.5,0.75,4,33.33333206,0.214917826,0.000337331,1,3,4,0
org.apache.tools.ant.Diagnostics,13,20,156,12.82051277,3,23.07692337,29.45736504,55.47445297,68,0.871794879,48.5,31.08974266,0.258948972,0.005551612,2,12,14,1
org.apache.tools.ant.DirectoryScanner,70,211,4830,4.368529797,1,1.428571463,33.11800003,40.68783188,2309.5,0.956314683,420.5,8.706004143,0.19664546,0.000815055,60,10,70,1
org.apache.tools.ant.DynamicAttribute,4,2,12,16.66666603,2,50,23.6003437,93.51535797,5,0.833333313,1,8.333333015,0.139745171,3.15E-05,3,1,4,0
org.apache.tools.ant.DynamicAttributeNS,3,1,6,16.66666603,2,66.66666412,23.55727768,95.96491241,2.5,0.833333313,1,16.66666603,0.139745171,3.15E-05,2,1,3,0
org.apache.tools.ant.DynamicConfigurator,4,0,12,0,4,100,0.559862196,76.47058868,6,1,4,33.33333206,0.123193642,1.42E-06,2,2,4,0
org.apache.tools.ant.DynamicConfiguratorNS,3,0,6,0,3,100,0.387596905,75,3,1,2,33.33333206,0.123193642,4.92E-07,1,2,3,0
org.apache.tools.ant.DynamicElement,4,1,12,8.333333015,3,75,23.6003437,91.63879395,5.5,0.916666687,2,16.66666603,0.139745171,3.15E-05,3,1,4,0
org.apache.tools.ant.DynamicElementNS,4,1,12,8.333333015,3,75,23.90180969,95.36082458,5.5,0.916666687,2,16.66666603,0.139745171,3.16E-05,3,1,4,0
org.apache.tools.ant.Executor,4,6,12,50,1,25,26.83031845,67.49729156,3,0.5,0,0,0.214375788,0,3,2,5,0
org.apache.tools.ant.ExitException,3,0,6,0,3,100,1.894918203,97.77777863,3,1,0,0,0,0,3,0,3,0
org.apache.tools.ant.ExitStatusException,5,5,20,25,1,20,23.72954369,72.98013306,7.5,0.75,1,5,0.162368672,2.16E-07,3,2,5,0
org.apache.tools.ant.FileScanner,6,7,30,23.33333397,1,16.66666603,5.857019901,70.10309601,11.5,0.766666651,0,0,0,0,6,0,6,0
org.apache.tools.ant.IntrospectionHelper,32,78,992,7.862903118,1,3.125,27.9069767,55.2429657,457,0.921370983,565.083313,56.96404648,0.232876712,0.003877409,20,28,48,1
org.apache.tools.ant.Location,156,478,24180,1.976840377,1,0.641025662,36.60637283,29.04989815,11851,0.980231583,219.0333405,0.905845046,0.193181818,0.009780696,154,2,156,0
org.apache.tools.ant.Main,17,28,272,10.29411793,2,11.76470566,28.42377281,53.87755203,122,0.897058845,94,34.55882263,0.253353204,0.007877753,2,17,19,1
org.apache.tools.ant.NoBannerLogger,4,4,12,33.33333206,1,25,3.186907768,75.5102005,4,0.666666687,0,0,0.180710122,0,0,4,4,1
org.apache.tools.ant.PathTokenizer,3,2,6,33.33333206,1,33.33333206,10.3789835,83.10344696,2,0.666666687,0.5,8.333333015,0.122876762,2.94E-06,2,1,3,0
org.apache.tools.ant.Project,380,1742,144020,1.209554195,2,0.526315808,44.70284271,17.7983532,71139,0.987904429,30470.46875,21.15711021,0.272,0.038199933,367,30,397,1
org.apache.tools.ant.ProjectComponent,67,152,4422,3.437358618,6,8.955224037,26.44272232,39.00889587,2135,0.965626419,111.1166687,2.51281476,0.214511041,0.001058821,66,2,68,0
org.apache.tools.ant.ProjectHelper,26,92,650,14.15384579,1,3.846153736,28.94056892,46.82926941,279,0.858461559,109.4083328,16.83205223,0.237762238,0.002102518,19,9,28,1
org.apache.tools.ant.PropertyHelper,4,5,12,41.66666794,1,25,26.87338448,65.40880585,3.5,0.583333313,0,0,0.214375788,0,3,2,5,1
org.apache.tools.ant.RuntimeConfigurable,22,94,462,20.34632111,1,4.545454502,29.069767,47.635849,184,0.796536803,62.42618942,13.51216221,0.228494624,0.000691814,12,11,23,1
org.apache.tools.ant.SubBuildListener,6,15,30,50,1,16.66666603,17.14039612,81.89300537,7.5,0.5,0,0,0.177638454,0,4,2,6,0
org.apache.tools.ant.Target,34,150,1122,13.36898422,1,2.941176414,29.62962914,40.75829315,486,0.866310179,75.1166687,6.694890022,0.218228498,0.00033734,29,7,36,1
org.apache.tools.ant.Task,193,649,37056,1.751403332,4,2.072538853,37.85529709,25.50783539,18203.5,0.98248595,1104.642822,2.981009483,0.218790219,0.003243339,190,8,198,0
org.apache.tools.ant.TaskAdapter,7,15,42,35.7142868,1,14.28571415,27.9069767,49.73138809,13.5,0.642857134,6,14.28571415,0.216010165,0.000159079,2,6,8,0
org.apache.tools.ant.TaskContainer,14,30,182,16.48351669,1,7.142857075,10.24978447,63.97849274,76,0.835164845,0.583333313,0.320512831,0.179704017,2.82E-07,13,1,14,0
org.apache.tools.ant.TypeAdapter,7,13,42,30.95238113,1,14.28571415,16.96813011,79.75708771,14.5,0.690476179,0,0,0.214105793,0,6,1,7,0
org.apache.tools.ant.UnknownElement,29,137,812,16.87192154,1,3.448275805,29.32816505,40.63245773,337.5,0.831280768,154.3690491,19.01096725,0.231449966,0.001281462,19,15,34,1
org.apache.tools.ant.UnsupportedAttributeException,4,4,12,33.33333206,1,25,23.77260971,92.6174469,4,0.666666687,0,0,0.139745171,0,3,1,4,0
org.apache.tools.ant.UnsupportedElementException,3,4,6,66.66666412,1,33.33333206,23.77260971,92.6174469,1,0.333333343,0,0,0.139745171,0,2,1,3,0
org.apache.tools.ant.XmlLogger,19,41,342,11.98830414,2,10.52631569,36.0465126,46.99607086,150.5,0.88011694,0,0,0.250544662,0,0,19,19,1
org.apache.tools.ant.dispatch.DispatchTask,3,1,6,16.66666603,2,66.66666412,8.570198059,95.67308044,2.5,0.833333313,1,16.66666603,0.180137348,9.28E-08,1,2,3,0
org.apache.tools.ant.dispatch.DispatchUtils,6,8,30,26.66666603,2,33.33333206,24.46167183,72.91399384,11,0.733333349,5,16.66666603,0.188679245,0.00016933,3,4,7,0
org.apache.tools.ant.dispatch.Dispatchable,2,0,2,0,2,100,0.30146426,77.77777863,1,1,0,0,0,0,2,0,2,0
org.apache.tools.ant.filters.BaseFilterReader,9,6,72,8.333333015,5,55.55555725,19.7674427,77.66497803,33,0.916666687,9,12.5,0.224422442,0.000704563,7,2,9,0
org.apache.tools.ant.filters.BaseParamFilterReader,15,11,210,5.238095284,4,26.66666603,2.368647814,52.38095093,99.5,0.947619021,26,12.38095284,0.184682238,0.000445541,12,3,15,0
org.apache.tools.ant.filters.ChainableReader,23,23,506,4.545454502,2,8.695652008,3.617571115,42.63959503,241.5,0.954545438,0,0,0,0,23,0,23,0
org.apache.tools.ant.filters.ClassConstants,4,2,12,16.66666603,2,50,23.94487572,92.3588028,5,0.833333313,1,8.333333015,0.184782609,4.40E-07,1,3,4,0
org.apache.tools.ant.filters.ConcatFilter,4,1,12,8.333333015,3,75,17.35572815,91.1764679,5.5,0.916666687,0,0,0.217059198,0,0,4,4,0
org.apache.tools.ant.filters.EscapeUnicode,3,1,6,16.66666603,2,66.66666412,1.851851821,58.90410995,2.5,0.833333313,1,16.66666603,0.156682028,1.66E-05,1,2,3,0
org.apache.tools.ant.filters.ExpandProperties,4,3,12,25,1,25,17.2695961,89.70917511,4.5,0.75,1,8.333333015,0.215599239,4.40E-07,1,3,4,0
org.apache.tools.ant.filters.FixCrLfFilter,14,7,182,3.846153736,8,57.1428566,24.72006798,89.96865082,87.5,0.961538434,17.5,9.615385056,0.161439114,7.34E-06,2,12,14,0
