name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.camel.AlreadyStoppedException,1,4,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,2,0,2,0,2,100,0.527522922,100,1,1,1,50,1,2.10E-07,1,1,2,0.210941436,0.050169445,-0.086300784,0.056125463,0.27459218,0.097940504,-0.008618693,0.016222104,-0.137021689,-0.023447416,0.008905448,0.059605275,-0.028445017,0.063839327,-0.100334137,0.146116099,-0.201517881,0.215451762,0.109453135,0.233586218,0.32619135,-0.239475615,0.16011696,-0.220410496,-0.135019681,-0.404213313,-0.045388416,-0.313246896,-0.15490471,-0.316612592,0.011854143,-0.008885723,0
org.apache.camel.AsyncCallback,1,1,0,56,1,0,56,0,1,2,1,0,0,0,1,0,0,0,1,1,56,96,3080,3.116883039,3,5.357142925,4.403669834,35.03649521,1492,0.968831182,0,0,0,0,56,0,56,0.179042188,0.005429267,0.204343178,0.009349191,0.478426973,-0.074860345,-0.165078496,0.021107646,0.087373722,0.047133113,-0.326796211,-0.214956015,0.193286374,0.09237215,0.351973792,-0.192544804,-0.014612077,-0.101163991,-0.06671445,-0.044145528,0.037263153,0.091521793,-0.035471971,0.026379463,0.095525206,0.072660092,0.145134009,-0.209316953,0.313760811,0.292874728,-0.034965495,-0.02961192,1
org.apache.camel.AsyncProcessor,1,1,0,34,1,0,31,3,1,2,1,0,0,0,1,0,0,0,1,1,34,107,1122,9.536541939,1,2.941176414,14.65596294,53.47280502,507.5,0.904634595,15.36666679,1.369578123,0.120134794,2.16E-05,31,3,34,0.183401452,0.003001214,0.164058781,0.008313511,0.502448709,-0.06991246,-0.142075477,0.000974562,0.09389771,0.053532298,-0.317714533,-0.220239251,0.186955686,0.094310231,0.32225702,-0.17834722,-0.018747168,-0.10182565,-0.039641476,-0.031289721,0.056918839,0.109338723,-0.034121154,0.038291054,0.080258707,0.045419551,0.175552601,-0.20346294,0.334845956,0.310837368,-0.014059008,-0.021259093,1
org.apache.camel.Body,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.779816508,100,0,0,0,0,0,0,1,0,1,0.075776048,-0.019738442,-0.002326155,0.085079065,-0.196744953,-0.020652128,-0.113493605,0.006865074,-0.025672124,0.005688516,-0.002692481,-0.054336355,-0.105136546,-0.004027289,0.199305387,-0.279804115,-0.471477787,0.550847587,0.015022524,-0.085307227,-0.204424404,0.187515601,-0.043682538,-0.051478553,-0.150456506,-0.275830935,0.17177458,0.000797077,0.045005826,0.208895254,-0.084109977,-0.078270404,0
org.apache.camel.CamelContext,35,1,0,172,35,595,162,14,35,2,35,0,0,0,0.147619048,0,0,0,1,1,177,609,31152,1.954930663,1,0.564971745,22.6376152,29.10645866,15271.5,0.98045069,5972.042969,19.1706562,0.154362416,0.022932115,167,14,181,0.338220441,-0.04639022,0.458836657,-0.123410371,-0.26735908,-0.178487121,-0.162935898,0.126440422,-0.127191605,-0.08449074,0.259984778,-0.209782835,0.055400348,-0.229932344,0.004861083,-0.062580753,0.135030702,0.071652667,0.197484191,-0.112125683,0.064782552,-0.027982503,-0.041910408,0.023653834,0.098568487,-0.192946019,0.381106048,0.135729133,0.003010205,-0.130451204,-0.064651588,-0.054539897,1
org.apache.camel.CamelContextAware,1,1,0,10,1,0,9,1,1,2,1,0,0,0,1,0,0,0,1,1,10,10,90,11.11111069,1,10,5.458715439,67.61363983,40,0.888888896,0,0,0.133821321,0,9,1,10,0.273332319,-0.081211181,0.149199746,-0.296057528,-0.278425981,-0.046334692,-0.12043747,0.060544353,-0.009157481,-0.166012689,0.109932751,-0.171476031,-0.025837761,0.007670393,0.17916924,-0.132156275,0.379884459,0.110638625,-0.050693118,-0.242185989,-0.059565138,-0.127688249,-0.094081475,-0.084996581,0.024446234,0.197636472,-0.068650581,0.450943023,-0.105710119,0.076793939,-0.12867809,-0.237619256,1
org.apache.camel.CamelException,4,3,4,14,8,6,14,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,14,7,182,3.846153736,10,71.42857361,4.105504513,78.85462189,87.5,0.961538434,0,0,0,0,14,0,14,0.256582343,0.095569474,0.129119296,-0.011266355,0.238528377,-0.021128496,-0.027635438,0.096393835,-0.265047839,0.140572512,0.036780296,0.175690452,0.020368007,0.113155134,0.072283401,0.028198424,-0.014506405,0.245441282,0.032482019,0.23586848,0.428937941,-0.138861219,0.080140928,-0.139867448,-0.297008914,-0.101638878,-0.253167851,-0.169793223,0.032427662,0.297774319,-0.248168247,-0.100955887,0
org.apache.camel.CamelExchangeException,4,4,8,13,10,0,11,2,3,0.833333333,39,1,1,0.894736842,0.625,0,0,8.25,1,0.5,13,15,156,9.615385056,2,15.38461494,10.68807316,87.92453003,70.5,0.903846145,11,7.051281929,0.120134794,5.14E-06,11,2,13,0.157305401,-0.058363048,0.1205376,0.307932786,0.19487892,-0.075421049,-0.030286512,0.082348876,-0.080570259,-0.072036443,-0.073393289,0.143435025,-0.179740466,0.21964466,-0.237611711,0.152587222,0.041418479,0.372961628,-0.208577553,0.396415321,-0.166760384,-0.16494092,-0.043033979,0.102450025,-0.112256267,-0.007677468,0.18144659,-0.166468457,-0.203856891,-0.24529337,-0.030011273,-0.168666286,1
org.apache.camel.CamelTemplate,2,3,0,3,4,1,0,3,2,2,11,0,0,1,0.833333333,0,0,4.5,0,0,3,4,6,66.66666412,1,33.33333206,6.8577981,78.06788635,1,0.333333343,0,0,0.137175793,0,0,3,3,0.330470513,-0.266021718,-0.105714164,-0.207654474,-0.3074935,0.2227888,-0.127287835,0.039826951,0.248626352,0.293239902,-0.390196208,0.087857979,-0.065870264,-0.058638956,0.210738131,-0.081585698,0.198451709,0.120206296,-0.209311904,0.157415245,-0.053249442,0.155574116,-0.022156569,0.125565105,0.027398756,0.106948271,0.093594863,0.054493144,-0.105003735,0.009550599,-0.118584411,-0.149371869,0
org.apache.camel.Component,3,1,0,67,3,3,66,2,3,2,3,0,0,0,0.555555556,0,0,0,1,1,67,146,4422,3.301673412,1,1.49253726,10.61926651,35.20912552,2138,0.966983259,34.41666794,0.778305471,0.13473167,0.000424735,66,2,68,0.267660974,-0.171846553,0.342202463,-0.169028167,-0.123095193,0.011869759,0.170975033,-0.01619162,0.03124234,0.384392886,0.394424246,-0.250866963,-0.23424774,0.031721145,-0.106866345,0.027317529,-0.12119664,-0.062688758,0.142056951,-0.164633063,-0.032280197,-0.195424648,0.0162885,-0.018084036,-0.088639068,0.068155306,-0.086138745,-0.063800574,0.316026223,-0.06474222,0.078165798,0.182174232,0
