name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
org.apache.camel.AlreadyStoppedException,1,4,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,2.0,0.0,2.0,0.0,2.0,100.0,0.5275229215621948,100.0,1.0,1.0,1.0,50.0,1.0,2.10468270855827e-07,1.0,1.0,2.0,0
org.apache.camel.AsyncCallback,1,1,0,56,1,0,56,0,1,2,1,0,0,0,1,0,0,0,1,1,56.0,96.0,3080.0,3.1168830394744873,3.0,5.357142925262451,4.403669834136963,35.036495208740234,1492.0,0.9688311815261841,0.0,0.0,0.0,0.0,56.0,0.0,56.0,1
org.apache.camel.AsyncProcessor,1,1,0,34,1,0,31,3,1,2,1,0,0,0,1,0,0,0,1,1,34.0,107.0,1122.0,9.536541938781738,1.0,2.941176414489746,14.655962944030762,53.47280502319336,507.5,0.9046345949172974,15.366666793823242,1.3695781230926514,0.120134793597304,2.16495848279503e-05,31.0,3.0,34.0,1
org.apache.camel.Body,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,100.0,0.7798165082931519,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
org.apache.camel.CamelContext,35,1,0,172,35,595,162,14,35,2,35,0,0,0,0.147619048,0,0,0,1,1,177.0,609.0,31152.0,1.9549306631088257,1.0,0.5649717450141907,22.637615203857422,29.10645866394043,15271.5,0.9804506897926331,5972.04296875,19.170656204223633,0.154362416107382,0.0229321147807909,167.0,14.0,181.0,1
org.apache.camel.CamelContextAware,1,1,0,10,1,0,9,1,1,2,1,0,0,0,1,0,0,0,1,1,10.0,10.0,90.0,11.11111068725586,1.0,10.0,5.458715438842773,67.61363983154297,40.0,0.8888888955116272,0.0,0.0,0.133821321321321,0.0,9.0,1.0,10.0,1
org.apache.camel.CamelException,4,3,4,14,8,6,14,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,14.0,7.0,182.0,3.846153736114502,10.0,71.42857360839844,4.105504512786865,78.85462188720703,87.5,0.9615384340286255,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0
org.apache.camel.CamelExchangeException,4,4,8,13,10,0,11,2,3,0.833333333,39,1,1,0.894736842,0.625,0,0,8.25,1,0.5,13.0,15.0,156.0,9.615385055541992,2.0,15.384614944458008,10.68807315826416,87.92453002929688,70.5,0.9038461446762085,11.0,7.051281929016113,0.120134793597304,5.13539354011771e-06,11.0,2.0,13.0,1
org.apache.camel.CamelTemplate,2,3,0,3,4,1,0,3,2,2,11,0,0,1,0.833333333,0,0,4.5,0,0,3.0,4.0,6.0,66.66666412353516,1.0,33.33333206176758,6.857798099517822,78.06788635253906,1.0,0.3333333432674408,0.0,0.0,0.137175792507204,0.0,0.0,3.0,3.0,0
org.apache.camel.Component,3,1,0,67,3,3,66,2,3,2,3,0,0,0,0.555555556,0,0,0,1,1,67.0,146.0,4422.0,3.301673412322998,1.0,1.492537260055542,10.619266510009766,35.20912551879883,2138.0,0.9669832587242126,34.41666793823242,0.7783054709434509,0.134731670445956,0.000424735153500199,66.0,2.0,68.0,0
