name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.ivy.Ivy,74,1,0,84,163,2213,44,46,70,0.901946647,1119,0.894736842,12,0,0.055222603,0,0,13.86486486,11,1.2297,84,395,6972,5.665519238,1,1.190476179,84.46808624,21.49431419,3288.5,0.943344831,2307.481445,33.09640503,0.392045455,0.203979584,44,46,90,0.33796767,-0.104199548,0.525752426,0.125625133,0.023660396,0.377704455,-0.044261709,0.154538955,0.070244036,0.027128328,0.348341487,-0.109160415,-0.105115653,-0.166132859,-0.029749832,-0.160820626,0.089421189,0.179121161,0.113218391,-0.051404718,-0.21242371,0.022272549,-0.091120836,-0.154985654,0.068778898,0.019174899,-0.083682977,-0.003797954,-0.053932151,-0.100461332,-0.013492892,-0.224837523,0
org.apache.ivy.Ivy14,59,1,0,31,148,0,0,31,57,0.017241379,895,1,1,0,0.190862196,0,0,14.15254237,4,1.0339,31,124,930,13.33333302,1,3.225806475,72.55319214,27.6785717,403,0.866666675,0,0,0.374054054,0,0,31,31,0.338768917,0.081290108,0.058909398,-0.321251045,-0.229855684,0.164933203,-0.218178303,0.002911406,0.083905124,-0.020384379,0.355990585,-0.304071751,-0.180411818,-0.065526387,0.059669151,0.017305846,0.006739357,0.043844101,-0.195529637,0.138030454,0.169389035,-0.132925819,-0.029870968,-0.006725471,-0.003638939,-0.37498107,-0.251683192,-0.127238483,-0.011226353,-0.009224937,0.156079571,-0.16025021,0
org.apache.ivy.Main,13,1,0,29,148,78,0,0,1,0.972222222,1407,0.333333333,0,0,0.192307692,0,0,107,8,2.3077,29,61,812,7.512315273,2,6.896551609,68.0851059,34.33476257,375.5,0.924876869,0,0,0.361025641,0,0,29,29,0.201313491,-0.156319268,0.034451137,-0.180362559,0.038070225,-0.045376428,-0.176267408,-0.088752266,-0.244657813,-0.254060866,0.140962731,0.128963994,-0.173682314,-0.176841397,-0.189450625,0.035303986,0.24718931,0.363548568,-0.005352143,0.198183376,0.203917656,0.193612051,-0.114848605,-0.029245393,-0.170326192,-0.300899095,-0.008379217,0.219208749,0.039603514,0.282908838,-0.113255263,-0.107636813,1
org.apache.ivy.ant.AntBuildTrigger,13,2,0,11,50,46,0,0,10,0.783333333,267,1,0,0.428571429,0.323076923,0,0,19.15384615,8,1.5385,7,10,42,23.80952454,1,14.28571415,45.74468231,65.34954071,16,0.761904776,0,0,0.304385965,0,0,7,7,0.13215956,-0.079352912,0.032954115,-0.281304629,0.123568455,-0.090202649,0.048777161,0.239056895,0.346894421,-0.005426277,-0.029879485,0.376226096,-0.063155184,-0.048657506,-0.197685898,-0.113834306,-0.101435595,0.053281348,-0.079905482,-0.057496705,-0.189803437,-0.155192461,0.118969812,-0.149211716,-0.156328801,0.178944419,0.354127809,-0.338268919,-0.244086666,0.066402141,-0.083155898,-0.073116486,0
org.apache.ivy.ant.AntCallTrigger,10,2,0,9,38,15,0,0,8,0.694444444,197,1,0,0.5,0.4,0,0,18.3,7,1.6,6,5,30,16.66666603,2,33.33333206,32.12765884,69.26605225,12.5,0.833333313,0,0,0.261295181,0,0,6,6,0.11392055,-0.058064348,0.035633404,-0.21850937,0.124668951,-0.037183191,0.039695411,0.15781795,0.38808443,-0.015396788,0.009535509,0.398692119,-0.111850088,-0.015784895,-0.214922196,-0.111545886,-0.108887086,0.139677492,-0.092591536,-0.068452154,-0.155993864,-0.179202232,0.131007989,-0.106647787,-0.126926253,0.167262534,0.333643158,-0.339565594,-0.307392718,0.058699063,-0.101941829,-0.035969332,0
org.apache.ivy.ant.AntMessageLogger,7,2,0,12,24,0,2,0,6,0.541666667,122,1,0,0.76,0.333333333,1,8,15.85714286,3,1.1429,8,11,56,19.6428566,1,12.5,24.46808434,65.7142868,22.5,0.803571403,6.333333492,11.30952358,0.284893268,0.00026426,2,6,8,0.093925067,-0.097024014,0.067538994,-0.224318386,0.111130413,-0.107675558,-0.031155927,0.162371101,-0.097862237,-0.169704212,0.23042799,0.297418645,-0.140188636,0.061000789,-0.001393001,0.046225782,0.337781226,-0.061676513,0.333701989,0.337048483,-0.161357949,0.309971687,-0.033543258,0.032420756,0.153946477,-0.140107723,-0.180809164,0.121193756,-0.196792168,0.18382877,-0.07499808,0.184804099,0
org.apache.ivy.ant.IvyAntSettings,29,3,0,21,97,316,4,0,20,0.853571429,677,0.9,1,0.517241379,0.206896552,2,2,22,8,1.931,16,24,240,10,4,25,47.02127838,54.2997551,108,0.899999976,47.16666794,19.65277863,0.331450094,0.0054256,4,14,18,0.098241318,-0.111226921,0.098887083,-0.254227046,0.250842624,-0.113984051,-0.013521829,0.124913581,-0.271248565,-0.356171269,0.199165315,0.318013829,-0.128233554,-0.086992348,0.046660208,0.04923638,0.271523582,0.06787845,0.070728357,0.399126549,-0.029316249,0.113960897,-0.154893821,-0.045794883,-0.068001535,-0.162139336,0.006012579,-0.106732583,0.273348024,0.109929376,-0.144713107,0.096749976,0
org.apache.ivy.ant.IvyAntVariableContainer,6,2,0,6,36,0,1,0,5,0.3,165,1,0,0.583333333,0.5,1,2,26.16666667,3,1.8333,4,4,12,33.33333206,1,25,24.46808434,85.18518829,4,0.666666687,1,8.333333015,0.224529526,9.07E-06,1,3,4,0.113792059,-0.091316721,0.088014105,-0.240550002,0.308884334,0.026175246,0.122936537,0.166157463,-0.135194524,-0.217623799,0.098197282,0.497274145,-0.248803019,-0.030445656,-0.011687711,-0.017704167,0.054531305,-0.017136833,0.209080908,0.140551878,-0.084250001,-0.328848772,-0.022354569,0.114545362,-0.106269577,-0.112825548,0.157944299,-0.197088715,0.006059898,-0.156235401,0.224659041,0.17353834,0
org.apache.ivy.ant.IvyArtifactProperty,8,5,0,11,32,18,0,0,7,0.666666667,149,1,0,0.936936937,0.5,1,2,17.25,2,1,9,15,72,20.83333397,1,11.11111069,49.14893723,50.99337769,28.5,0.791666687,0,0,0.330855019,0,0,9,9,0.280103419,-0.098987656,0.12890369,-0.43943351,-0.100132579,-0.105112431,-0.323356238,-0.036410223,-0.113929297,0.152828997,-0.193183441,0.00737482,0.029860184,0.088772385,-0.154159304,-0.315331074,0.030859577,0.251881277,0.105961963,0.037855567,-0.118896979,0.059123152,-0.077042531,-0.259856927,0.074989333,-0.357303662,0.18540432,-0.116808549,-0.058831817,0.059089786,0.026272804,-0.110822528,0
org.apache.ivy.ant.IvyArtifactReport,14,5,0,20,105,73,0,0,7,0.807692308,623,1,0,0.888888889,0.207792208,3,6,43.35714286,7,1.5714,18,85,306,27.77777863,1,5.555555344,63.82978821,30.0300293,110.5,0.722222209,0,0,0.357071214,0,0,18,18,0.451025554,0.102447904,0.075473402,-0.403562173,-0.29085908,-0.009731077,-0.265589635,-0.168390829,-0.06573041,0.086576781,-0.185071999,-0.136255025,-0.041684973,-0.151124844,0.122193147,0.225292667,0.207485876,0.175160551,0.011764067,-0.098409307,-0.022451776,-0.18442493,-0.107420948,-0.121172212,0.216142245,-0.162957412,-0.08078476,0.111487479,0.180124701,0.094862187,-0.019703552,0.026155159,0
