name,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
org.apache.ivy.Ivy,84.0,395.0,6972.0,5.6655192375183105,1.0,1.1904761791229248,84.46808624267578,21.494314193725586,3288.5,0.9433448314666748,2307.4814453125,33.096405029296875,0.392045454545454,0.203979583991353,44.0,46.0,90.0,0
org.apache.ivy.Ivy14,31.0,124.0,930.0,13.333333015441895,1.0,3.225806474685669,72.55319213867188,27.678571701049805,403.0,0.8666666746139526,0.0,0.0,0.374054054054054,0.0,0.0,31.0,31.0,0
org.apache.ivy.Main,29.0,61.0,812.0,7.512315273284912,2.0,6.896551609039307,68.0851058959961,34.33476257324219,375.5,0.924876868724823,0.0,0.0,0.361025641025641,0.0,0.0,29.0,29.0,1
org.apache.ivy.ant.AntBuildTrigger,7.0,10.0,42.0,23.809524536132812,1.0,14.285714149475098,45.74468231201172,65.34954071044922,16.0,0.761904776096344,0.0,0.0,0.30438596491228,0.0,0.0,7.0,7.0,0
org.apache.ivy.ant.AntCallTrigger,6.0,5.0,30.0,16.66666603088379,2.0,33.33333206176758,32.12765884399414,69.26605224609375,12.5,0.8333333134651184,0.0,0.0,0.261295180722891,0.0,0.0,6.0,6.0,0
org.apache.ivy.ant.AntMessageLogger,8.0,11.0,56.0,19.64285659790039,1.0,12.5,24.46808433532715,65.71428680419922,22.5,0.8035714030265808,6.333333492279053,11.309523582458496,0.284893267651888,0.000264259826932784,2.0,6.0,8.0,0
org.apache.ivy.ant.IvyAntSettings,16.0,24.0,240.0,10.0,4.0,25.0,47.021278381347656,54.29975509643555,108.0,0.8999999761581421,47.16666793823242,19.65277862548828,0.331450094161958,0.00542560032375393,4.0,14.0,18.0,0
org.apache.ivy.ant.IvyAntVariableContainer,4.0,4.0,12.0,33.33333206176758,1.0,25.0,24.46808433532715,85.18518829345703,4.0,0.6666666865348816,1.0,8.333333015441895,0.224529526281635,9.07317515764641e-06,1.0,3.0,4.0,0
org.apache.ivy.ant.IvyArtifactProperty,9.0,15.0,72.0,20.83333396911621,1.0,11.11111068725586,49.1489372253418,50.993377685546875,28.5,0.7916666865348816,0.0,0.0,0.33085501858736,0.0,0.0,9.0,9.0,0
org.apache.ivy.ant.IvyArtifactReport,18.0,85.0,306.0,27.77777862548828,1.0,5.55555534362793,63.82978820800781,30.030029296875,110.5,0.7222222089767456,0.0,0.0,0.357071213640922,0.0,0.0,18.0,18.0,0
