name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.lucene.analysis.Analyzer,6,1,6,15,10,9,14,1,4,0.6,31,1,0,0,0.5,0,0,4,1,0.8333,78,129,6006,2.147852182,1,1.282051325,44.61077881,39.07342529,2938.5,0.978521466,18.5,0.308025301,0.5,0.000149941,77,1,78,0.083188695,0.093362141,-0.038987769,-0.037435214,0.000106541,0.060796337,0.028189243,-0.280693252,0.454922699,0.002179637,-0.095975203,0.092744149,-0.026936317,-0.050993973,-0.006941939,-0.041633331,-0.006753695,0.053361418,0.082969363,0.129324653,0.100728958,0.026397658,-0.135521625,-0.062064769,-0.100669802,0.147259872,-0.218873905,-0.206557362,0.453936941,0.258884289,0.456125842,-0.072091684,1
org.apache.lucene.analysis.CachingTokenFilter,6,3,0,3,19,7,0,3,3,0.8,107,0.5,0,0.636363636,0.4,2,3,16.16666667,1,0.6667,5,6,20,30,1,20,16.26746559,59.27272797,7,0.699999988,2.5,12.5,0.714285714,5.15E-06,2,3,5,0.01902724,0.049553577,-0.063302042,-0.009442789,-0.017531229,0.107337045,-0.019314348,-0.31231502,0.439943494,-0.004621887,-0.085871374,-0.149965735,-0.007897736,0.090882137,-0.041401398,0.057577184,-0.060710477,-0.045184782,-0.066349694,-0.651743536,-0.356121663,-0.10158435,-0.06840094,0.022403059,-0.014996636,-0.168362732,0.168312405,0.108032317,-0.017196779,-0.000186123,0.003268842,-0.021401796,1
org.apache.lucene.analysis.CharArraySet,20,3,0,2,29,100,2,1,12,0.671052632,569,1,0,0.538461538,0.233333333,2,11,27.25,6,2.7,5,2,20,10,3,60,2.395209551,68.57142639,9,0.899999976,4,20,1,4.89E-05,5,1,6,0.008023216,0.024734872,-0.03821568,-0.005580906,-0.013134671,0.091582931,-0.015736592,-0.291207406,0.42957531,-0.01206892,-0.152787971,-0.12568767,-0.02293765,0.100173915,-0.00700481,-0.061239817,-0.115872425,-0.027644553,0.105119185,0.473404149,0.308795703,-0.040958289,-0.002587526,0.087631152,0.166244218,-0.116192273,-0.073341029,-0.078882815,-0.267647966,-0.098624777,-0.41802641,0.055878346,1
org.apache.lucene.analysis.CharTokenizer,7,3,2,4,21,13,2,2,3,0.875,185,0.75,0,0.583333333,0.366666667,1,2,24.28571429,1,0.7143,5,0,20,0,5,100,11.27744484,91.86991882,10,1,6,30,0.625,2.09E-05,3,2,5,0.018789703,0.054152499,-0.075506095,-0.010475771,-0.019575306,0.119623173,-0.034967252,-0.32150111,0.458496706,-0.000620296,-0.091276049,-0.14078252,-0.007302811,0.07807047,-0.027512031,0.047339317,-0.077493899,-0.032660411,-0.039266415,-0.667487365,-0.343837842,-0.104744907,-0.100067276,0.11189739,-0.012698858,-0.058397374,0.057241379,-0.010882415,0.013069386,-0.07256224,0.076266277,0.002289139,1
org.apache.lucene.analysis.ISOLatin1AccentFilter,5,3,0,3,15,2,0,3,3,0.75,708,0.5,0,0.7,0.333333333,1,2,139.8,79,16.2,3,2,6,33.33333206,1,33.33333206,13.77245522,58.22784805,2,0.666666687,0,0,0.714285714,0,0,3,3,0.01902724,0.049553577,-0.063302042,-0.009442789,-0.017531229,0.107337045,-0.019314348,-0.31231502,0.439943494,-0.004621887,-0.085871374,-0.149965735,-0.007897736,0.090882137,-0.041401398,0.057577184,-0.060710477,-0.045184782,-0.066349694,-0.651743536,-0.356121663,-0.10158435,-0.06840094,0.022403059,-0.014996636,-0.168362732,0.168312405,0.108032317,-0.017196779,-0.000186123,0.003268842,-0.021401796,0
org.apache.lucene.analysis.KeywordAnalyzer,3,2,0,4,8,3,0,4,3,2,31,0,0,0.714285714,0.777777778,1,2,9.333333333,1,0.6667,4,3,12,25,1,25,14.27145672,71.5,4.5,0.75,0,0,0.636363636,0,0,4,4,0.029670964,0.046586197,-0.049964311,-0.024586081,-0.024985953,0.109639984,-0.001007064,-0.413956002,0.61410525,-0.005817931,-0.078325789,-0.141689729,-0.016505593,0.098684457,-0.060623396,0.025340844,-0.058209474,-0.013751279,-0.021983413,-0.378966406,-0.208199394,-0.045874014,-0.00134618,0.099197,0.017949927,0.17672042,0.232118396,-0.201194273,-0.154656171,-0.018307288,-0.146269529,0.132724694,1
org.apache.lucene.analysis.KeywordTokenizer,6,3,0,3,18,7,1,2,4,0.85,112,0.5,0,0.7,0.4,1,2,17,1,0.5,3,1,6,16.66666603,2,66.66666412,10.87824345,90.0826416,2.5,0.833333313,1,16.66666603,0.625,8.31E-07,1,2,3,0.023241216,0.06358007,-0.085136015,-0.012991229,-0.021083328,0.139246988,-0.033476031,-0.388186074,0.557624038,-0.003425478,-0.129394237,-0.146362037,-0.014114917,0.086685979,-0.025761567,0.025333467,-0.091112622,-0.02875719,-0.007910423,-0.510702827,-0.244591991,-0.099495608,-0.122552171,0.081464262,-0.015214669,-0.075848577,-0.082276928,-0.034161457,0.180721727,0.029560515,0.212302005,-0.065583842,1
org.apache.lucene.analysis.LengthFilter,4,3,0,3,12,2,0,3,2,0.75,79,0,0,0.777777778,0.4,1,2,17.75,1,0.5,3,2,6,33.33333206,1,33.33333206,13.77245522,58.22784805,2,0.666666687,0,0,0.714285714,0,0,3,3,0.01902724,0.049553577,-0.063302042,-0.009442789,-0.017531229,0.107337045,-0.019314348,-0.31231502,0.439943494,-0.004621887,-0.085871374,-0.149965735,-0.007897736,0.090882137,-0.041401398,0.057577184,-0.060710477,-0.045184782,-0.066349694,-0.651743536,-0.356121663,-0.10158435,-0.06840094,0.022403059,-0.014996636,-0.168362732,0.168312405,0.108032317,-0.017196779,-0.000186123,0.003268842,-0.021401796,0
org.apache.lucene.analysis.LetterTokenizer,2,4,1,2,4,1,1,1,1,2,9,0,0,0.923076923,0.666666667,1,1,3.5,1,0.5,2,0,2,0,2,100,0.798403203,100,1,1,1,50,0.428571429,5.28E-05,1,1,2,0.012939184,0.032918947,-0.055391252,-0.01538767,-0.025335874,0.127068775,-0.027086962,-0.407175464,0.601219866,-0.016480415,-0.156607495,-0.127183746,-0.033763354,0.125733002,-0.030310643,-0.071156329,-0.11283852,-0.003904276,0.095163931,0.190515277,0.149683117,-0.083274008,-0.098117587,0.153134543,0.081248034,0.246389602,0.105598749,-0.381717962,0.092061245,0.139076377,0.04663439,0.109921942,0
org.apache.lucene.analysis.LowerCaseFilter,4,3,0,4,14,4,1,3,2,0.833333333,74,0,0,0.777777778,0.416666667,1,2,17,1,0.5,9,8,72,11.11111069,1,11.11111069,14.570858,49.49152374,32,0.888888896,9,12.5,0.714285714,9.28E-06,6,3,9,0.01801182,0.04626081,-0.059657048,-0.009935791,-0.016873547,0.107987632,-0.016890558,-0.327865003,0.470342104,-0.005954767,-0.099451763,-0.150454622,-0.011512119,0.095689644,-0.042463945,0.048187543,-0.07114541,-0.044086517,-0.054795459,-0.633279825,-0.344713118,-0.108164658,-0.093446925,0.034924293,-0.01204387,-0.165680289,0.128160806,0.063968401,0.033645907,0.047532875,0.048017219,-0.040164685,0
