name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.lucene.analysis.Analyzer,6,1,6,15,10,9,14,1,4,0.6,31,1,0,0,0.5,0,0,4,1,0.8333,0.08318869514009315,0.09336214140112804,-0.03898776861545888,-0.03743521366672326,0.00010654089653188089,0.06079633738304292,0.02818924262009132,-0.2806932515422175,0.45492269905990806,0.002179636952297014,-0.09597520343535522,0.0927441486218575,-0.0269363171400694,-0.050993973028945885,-0.006941938759051217,-0.0416333309401189,-0.006753694606303194,0.05336141789447404,0.0829693634868634,0.1293246532203779,0.10072895819165018,0.02639765809419078,-0.1355216250924658,-0.06206476863367483,-0.10066980194426203,0.14725987189171932,-0.21887390473764437,-0.20655736152319132,0.45393694065228135,0.25888428891865095,0.45612584163440323,-0.07209168442713486,1
org.apache.lucene.analysis.CachingTokenFilter,6,3,0,3,19,7,0,3,3,0.8,107,0.5,0,0.636363636,0.4,2,3,16.16666667,1,0.6667,0.01902724031861582,0.04955357744384165,-0.06330204209902264,-0.009442788771259899,-0.017531228837782412,0.10733704528445379,-0.01931434818276158,-0.31231501955598245,0.4399434936468428,-0.004621886686743117,-0.08587137428557964,-0.1499657350534165,-0.007897736453418042,0.0908821373837994,-0.041401397709715966,0.05757718439102007,-0.06071047710775624,-0.04518478220820058,-0.06634969373315229,-0.6517435364999288,-0.35612166284964075,-0.1015843499467482,-0.06840094038193034,0.022403058915034472,-0.014996635960428422,-0.16836273236165017,0.16831240520039423,0.10803231700786001,-0.01719677901378844,-0.00018612317934388304,0.003268842129463016,-0.02140179598577563,1
org.apache.lucene.analysis.CharArraySet,20,3,0,2,29,100,2,1,12,0.671052632,569,1,0,0.538461538,0.233333333,2,11,27.25,6,2.7,0.00802321596521917,0.024734871513543265,-0.03821568026456002,-0.00558090633583717,-0.013134670708818548,0.09158293099262245,-0.015736592000780425,-0.2912074055488278,0.42957530976608344,-0.01206892047059763,-0.15278797087300874,-0.12568767047730345,-0.02293765046013927,0.10017391490266574,-0.007004809633762457,-0.0612398168075512,-0.1158724248497635,-0.027644552554756816,0.10511918483617207,0.473404149017993,0.30879570274033524,-0.040958288842062436,-0.002587526052477904,0.08763115162040265,0.16624421775640746,-0.11619227315720537,-0.07334102913518413,-0.07888281478257692,-0.2676479658094045,-0.09862477702683291,-0.4180264100431649,0.05587834569033442,1
org.apache.lucene.analysis.CharTokenizer,7,3,2,4,21,13,2,2,3,0.875,185,0.75,0,0.583333333,0.366666667,1,2,24.28571429,1,0.7143,0.018789703349595902,0.05415249858373702,-0.0755060946649547,-0.010475771320435416,-0.019575306407228626,0.11962317276392766,-0.034967251746923486,-0.321501109609267,0.4584967062315611,-0.0006202959317622454,-0.0912760493531665,-0.14078251969600414,-0.007302811266759313,0.07807046988828066,-0.027512030624129956,0.04733931732148688,-0.07749389928206794,-0.03266041069842907,-0.039266415334503355,-0.6674873645736799,-0.34383784153121855,-0.10474490713023729,-0.10006727623836,0.11189739042946183,-0.012698857661379062,-0.05839737362474438,0.057241379095362685,-0.0108824147723939,0.013069386402702327,-0.07256223978222995,0.07626627702466435,0.002289139446662623,1
org.apache.lucene.analysis.ISOLatin1AccentFilter,5,3,0,3,15,2,0,3,3,0.75,708,0.5,0,0.7,0.333333333,1,2,139.8,79,16.2,0.019027240318615767,0.04955357744384178,-0.0633020420990224,-0.009442788771259793,-0.017531228837783016,0.10733704528445442,-0.019314348182762515,-0.3123150195559818,0.43994349364684215,-0.004621886686743214,-0.08587137428557892,-0.14996573505341687,-0.007897736453418524,0.09088213738380084,-0.041401397709717506,0.05757718439101856,-0.06071047710775734,-0.04518478220819769,-0.0663496937331517,-0.6517435364999298,-0.3561216628496408,-0.10158434994674807,-0.06840094038193092,0.022403058915032158,-0.014996635960428741,-0.1683627323616514,0.16831240520039123,0.10803231700785997,-0.01719677901378706,-0.0001861231793438151,0.003268842129462239,-0.021401795985773693,0
org.apache.lucene.analysis.KeywordAnalyzer,3,2,0,4,8,3,0,4,3,2,31,0,0,0.714285714,0.777777778,1,2,9.333333333,1,0.6667,0.02967096409838172,0.046586196792517603,-0.04996431089909896,-0.024586080508392075,-0.02498595303711186,0.10963998377338764,-0.0010070641841604068,-0.41395600173822295,0.6141052497538707,-0.005817930852975263,-0.0783257889058822,-0.14168972905271945,-0.016505592921518562,0.09868445654895962,-0.06062339555097839,0.025340843650461322,-0.058209473624780725,-0.013751278577324248,-0.021983413043768562,-0.3789664060953588,-0.20819939446048585,-0.045874014486820235,-0.001346179679648394,0.09919700005488655,0.01794992712424405,0.17672041989741297,0.2321183958233729,-0.20119427346954538,-0.15465617051740913,-0.018307288162435358,-0.14626952929396406,0.13272469355836103,1
org.apache.lucene.analysis.KeywordTokenizer,6,3,0,3,18,7,1,2,4,0.85,112,0.5,0,0.7,0.4,1,2,17,1,0.5,0.023241216361386107,0.06358006980690982,-0.0851360149473643,-0.012991228995565972,-0.021083327761938157,0.13924698802935814,-0.033476030522133875,-0.38818607386957354,0.5576240380495738,-0.003425478101189382,-0.12939423679045298,-0.14636203673858217,-0.014114917340790753,0.08668597872954682,-0.0257615665292499,0.02533346735848495,-0.09111262170535639,-0.028757190480880126,-0.007910423288674806,-0.5107028267668788,-0.2445919912676592,-0.0994956082713944,-0.12255217106825449,0.08146426184067201,-0.015214668948764574,-0.07584857653760275,-0.08227692798888571,-0.03416145729568329,0.18072172682487564,0.02956051486731701,0.21230200510064126,-0.06558384249506023,1
org.apache.lucene.analysis.LengthFilter,4,3,0,3,12,2,0,3,2,0.75,79,0,0,0.777777778,0.4,1,2,17.75,1,0.5,0.019027240318615773,0.04955357744384184,-0.06330204209902243,-0.009442788771259899,-0.017531228837783,0.10733704528445447,-0.019314348182762037,-0.3123150195559823,0.43994349364684227,-0.004621886686744154,-0.08587137428557749,-0.1499657350534173,-0.0078977364534184,0.09088213738380092,-0.04140139770971583,0.057577184391019096,-0.06071047710775739,-0.045184782208200304,-0.06634969373315287,-0.6517435364999292,-0.356121662849641,-0.10158434994674846,-0.0684009403819304,0.02240305891503419,-0.014996635960429485,-0.16836273236164992,0.1683124052003933,0.10803231700785856,-0.017196779013787696,-0.00018612317934534793,0.0032688421294633277,-0.021401795985775407,0
org.apache.lucene.analysis.LetterTokenizer,2,4,1,2,4,1,1,1,1,2,9,0,0,0.923076923,0.666666667,1,1,3.5,1,0.5,0.012939183777393016,0.032918947288460246,-0.055391251593257605,-0.015387669751282715,-0.025335873693668513,0.12706877532960822,-0.02708696223257624,-0.4071754643219987,0.6012198663578003,-0.016480414518304926,-0.15660749493184847,-0.12718374608097865,-0.03376335426337071,0.12573300203026197,-0.0303106433980486,-0.07115632855848991,-0.11283851953595019,-0.003904276123675634,0.09516393146156528,0.19051527707008092,0.14968311736351114,-0.08327400777455003,-0.0981175873574979,0.1531345425008273,0.08124803387046402,0.24638960169774443,0.10559874866000205,-0.3817179615561102,0.09206124492241839,0.13907637708263687,0.0466343895736492,0.10992194150183326,0
org.apache.lucene.analysis.LowerCaseFilter,4,3,0,4,14,4,1,3,2,0.833333333,74,0,0,0.777777778,0.416666667,1,2,17,1,0.5,0.018011820146511804,0.046260810349657774,-0.05965704822094554,-0.009935790893838756,-0.016873546522265154,0.107987632212475,-0.016890557663948425,-0.3278650032036718,0.47034210380303015,-0.005954766591451525,-0.09945176297095915,-0.15045462212328634,-0.011512119094196568,0.09568964353859921,-0.042463945334658845,0.04818754288833831,-0.07114541005380591,-0.044086516867169204,-0.05479545919834951,-0.6332798249451724,-0.3447131184856886,-0.10816465832306338,-0.0934469250967389,0.03492429255019006,-0.012043869550398113,-0.1656802893383051,0.12816080598065133,0.06396840078035014,0.03364590666010233,0.04753287508484633,0.04801721945561155,-0.040164684745672564,0
