name,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
org.apache.lucene.analysis.Analyzer,78.0,129.0,6006.0,2.1478521823883057,1.0,1.2820513248443604,44.61077880859375,39.07342529296875,2938.5,0.978521466255188,18.5,0.3080253005027771,0.5,0.000149940562640405,77.0,1.0,78.0,1
org.apache.lucene.analysis.CachingTokenFilter,5.0,6.0,20.0,30.0,1.0,20.0,16.267465591430664,59.272727966308594,7.0,0.699999988079071,2.5,12.5,0.714285714285714,5.15120275599317e-06,2.0,3.0,5.0,1
org.apache.lucene.analysis.CharArraySet,5.0,2.0,20.0,10.0,3.0,60.0,2.395209550857544,68.57142639160156,9.0,0.8999999761581421,4.0,20.0,1.0,4.88533422665159e-05,5.0,1.0,6.0,1
org.apache.lucene.analysis.CharTokenizer,5.0,0.0,20.0,0.0,5.0,100.0,11.277444839477539,91.86991882324219,10.0,1.0,6.0,30.0,0.625,2.09371466856496e-05,3.0,2.0,5.0,1
org.apache.lucene.analysis.ISOLatin1AccentFilter,3.0,2.0,6.0,33.33333206176758,1.0,33.33333206176758,13.772455215454102,58.227848052978516,2.0,0.6666666865348816,0.0,0.0,0.714285714285714,0.0,0.0,3.0,3.0,0
org.apache.lucene.analysis.KeywordAnalyzer,4.0,3.0,12.0,25.0,1.0,25.0,14.271456718444824,71.5,4.5,0.75,0.0,0.0,0.636363636363636,0.0,0.0,4.0,4.0,1
org.apache.lucene.analysis.KeywordTokenizer,3.0,1.0,6.0,16.66666603088379,2.0,66.66666412353516,10.878243446350098,90.0826416015625,2.5,0.8333333134651184,1.0,16.66666603088379,0.625,8.30839154192447e-07,1.0,2.0,3.0,1
org.apache.lucene.analysis.LengthFilter,3.0,2.0,6.0,33.33333206176758,1.0,33.33333206176758,13.772455215454102,58.227848052978516,2.0,0.6666666865348816,0.0,0.0,0.714285714285714,0.0,0.0,3.0,3.0,0
org.apache.lucene.analysis.LetterTokenizer,2.0,0.0,2.0,0.0,2.0,100.0,0.7984032034873962,100.0,1.0,1.0,1.0,50.0,0.428571428571428,5.28413702066396e-05,1.0,1.0,2.0,0
org.apache.lucene.analysis.LowerCaseFilter,9.0,8.0,72.0,11.11111068725586,1.0,11.11111068725586,14.570858001708984,49.49152374267578,32.0,0.8888888955116272,9.0,12.5,0.714285714285714,9.28123598426173e-06,6.0,3.0,9.0,0
org.apache.lucene.analysis.LowerCaseTokenizer,3.0,0.0,6.0,0.0,3.0,100.0,1.6966067552566528,85.0,3.0,1.0,2.0,33.33333206176758,0.333333333333333,9.77066845330318e-05,2.0,1.0,3.0,1
org.apache.lucene.analysis.PerFieldAnalyzerWrapper,2.0,1.0,2.0,50.0,1.0,50.0,13.37325382232666,73.62637329101562,0.5,0.5,0.0,0.0,0.555555555555555,0.0,0.0,2.0,2.0,1
org.apache.lucene.analysis.PorterStemFilter,5.0,3.0,20.0,15.0,2.0,40.0,13.872255325317383,57.43801498413086,8.5,0.8500000238418579,2.5,12.5,0.75,1.1000310401508e-05,1.0,4.0,5.0,0
org.apache.lucene.analysis.PorterStemmer,1.0,0.0,0.0,0.0,1.0,100.0,0.49900200963020325,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
org.apache.lucene.analysis.SimpleAnalyzer,7.0,7.0,42.0,16.66666603088379,2.0,28.571428298950195,18.762475967407227,67.14286041259766,17.5,0.8333333134651184,6.5,15.476190567016602,0.5625,6.4860843303957e-05,3.0,4.0,7.0,1
org.apache.lucene.analysis.SinkTokenizer,6.0,4.0,30.0,13.333333015441895,2.0,33.33333206176758,10.878243446350098,85.82677459716797,13.0,0.8666666746139526,4.0,13.333333015441895,0.625,6.97904889521656e-06,4.0,2.0,6.0,0
org.apache.lucene.analysis.StopAnalyzer,11.0,16.0,110.0,14.545454978942871,2.0,18.18181800842285,14.970060348510742,56.39097595214844,47.0,0.8545454740524292,18.0,16.363636016845703,0.592592592592592,0.000203223257115472,4.0,8.0,12.0,1
org.apache.lucene.analysis.StopFilter,18.0,19.0,306.0,6.209150314331055,2.0,11.11111068725586,15.768463134765625,44.2577018737793,143.5,0.9379084706306458,35.0,11.437908172607422,0.7,0.000119782843491857,14.0,4.0,18.0,1
org.apache.lucene.analysis.TeeTokenFilter,4.0,3.0,12.0,25.0,1.0,25.0,13.772455215454102,56.790122985839844,4.5,0.75,0.0,0.0,0.7,0.0,0.0,4.0,4.0,0
org.apache.lucene.analysis.Token,102.0,131.0,10302.0,1.2715977430343628,8.0,7.843137264251709,33.033931732177734,37.02460861206055,5085.5,0.9872840046882629,157.0,1.5239759683609009,1.0,0.00032675800065352,100.0,2.0,102.0,1
org.apache.lucene.analysis.TokenFilter,31.0,30.0,930.0,3.225806474685669,1.0,3.225806474685669,11.87624740600586,44.90565872192383,450.0,0.9677419066429138,0.0,0.0,0.5,0.0,30.0,1.0,31.0,1
org.apache.lucene.analysis.TokenStream,104.0,257.0,10712.0,2.3991785049438477,2.0,1.923076868057251,34.83033752441406,31.61231803894043,5227.5,0.9760082364082336,87.13333129882812,0.8134179711341858,0.75,0.000987656079247914,102.0,2.0,104.0,1
org.apache.lucene.analysis.Tokenizer,15.0,8.0,210.0,3.809523820877075,9.0,60.0,12.874251365661621,72.47190856933594,101.0,0.961904764175415,9.0,4.285714149475098,0.5,1.79461257305568e-05,14.0,1.0,15.0,1
org.apache.lucene.analysis.WhitespaceAnalyzer,7.0,5.0,42.0,11.904762268066406,2.0,28.571428298950195,16.66666603088379,65.74803161621094,18.5,0.8809523582458496,7.5,17.85714340209961,0.615384615384615,1.92175835394891e-05,3.0,4.0,7.0,1
org.apache.lucene.analysis.WhitespaceTokenizer,2.0,0.0,2.0,0.0,2.0,100.0,1.0978044271469116,91.66666412353516,1.0,1.0,1.0,50.0,0.428571428571428,5.98204191018562e-06,1.0,1.0,2.0,1
org.apache.lucene.analysis.WordlistLoader,7.0,1.0,42.0,2.3809523582458496,6.0,85.71428680419922,3.493013858795166,50.72463607788086,20.5,0.976190447807312,0.0,0.0,0.0,0.0,7.0,0.0,7.0,1
org.apache.lucene.analysis.standard.StandardAnalyzer,20.0,25.0,380.0,6.5789475440979,1.0,5.0,19.16167640686035,48.73096466064453,177.5,0.9342105388641357,83.0,21.842105865478516,0.560975609756097,0.000283001447753391,10.0,10.0,20.0,1
org.apache.lucene.analysis.standard.StandardFilter,12.0,11.0,132.0,8.333333015441895,1.0,8.333333015441895,14.570858001708984,46.79487228393555,60.5,0.9166666865348816,20.0,15.151515007019043,0.615384615384615,2.26411295836762e-05,8.0,4.0,12.0,0
org.apache.lucene.analysis.standard.StandardTokenizer,13.0,2.0,156.0,1.2820513248443604,11.0,84.61538696289062,12.874251365661621,63.861385345458984,77.0,0.9871794581413269,31.0,19.871795654296875,0.666666666666666,3.73802161790503e-05,11.0,3.0,14.0,1
org.apache.lucene.analysis.standard.StandardTokenizerImpl,3.0,2.0,6.0,33.33333206176758,1.0,33.33333206176758,11.377245903015137,89.76377868652344,2.0,0.6666666865348816,1.0,16.66666603088379,0.545454545454545,1.99401397006187e-06,2.0,2.0,4.0,0
org.apache.lucene.document.AbstractField,7.0,8.0,42.0,19.047618865966797,2.0,28.571428298950195,4.790419101715088,41.02564239501953,17.0,0.8095238208770752,4.0,9.523809432983398,0.5,9.61143949891729e-06,3.0,4.0,7.0,1
org.apache.lucene.document.DateField,1.0,0.0,0.0,0.0,1.0,100.0,4.3912177085876465,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
org.apache.lucene.document.DateTools,8.0,8.0,56.0,14.285714149475098,1.0,12.5,10.479042053222656,62.13017654418945,24.0,0.8571428656578064,0.0,0.0,1.0,0.0,7.0,1.0,8.0,1
org.apache.lucene.document.Document,69.0,177.0,4692.0,3.772378444671631,3.0,4.34782600402832,45.20957946777344,33.856502532958984,2257.5,0.9622762203216553,149.0833282470703,3.177394151687622,0.461538461538461,0.00382716448147937,67.0,3.0,70.0,0
org.apache.lucene.document.Field,26.0,75.0,650.0,11.538461685180664,1.0,3.846153736114502,25.349302291870117,48.01512145996094,287.5,0.8846153616905212,60.0,9.230769157409668,0.666666666666666,0.00233357854025933,20.0,6.0,26.0,1
org.apache.lucene.document.FieldSelector,24.0,34.0,552.0,6.159420490264893,1.0,4.166666507720947,27.045907974243164,50.74906539916992,259.0,0.9384058117866516,13.833333015441895,2.5060386657714844,1.0,0.000392475756034353,23.0,1.0,24.0,0
org.apache.lucene.document.FieldSelectorResult,8.0,7.0,56.0,12.5,1.0,12.5,4.890219688415527,68.05555725097656,24.5,0.875,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1
org.apache.lucene.document.Fieldable,34.0,62.0,1122.0,5.525846481323242,1.0,2.941176414489746,31.137723922729492,47.56097412109375,530.0,0.9447415471076965,20.83333396911621,1.856803297996521,0.5,0.000579753518243314,33.0,1.0,34.0,1
org.apache.lucene.document.LoadFirstFieldSelector,2.0,1.0,2.0,50.0,1.0,50.0,2.395209550857544,75.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0
org.apache.lucene.document.MapFieldSelector,2.0,1.0,2.0,50.0,1.0,50.0,2.395209550857544,75.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0
