name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.poi.ddf.DefaultEscherRecordFactory,4,1,1,11,27,4,3,8,2,0.833333333,214,1,0,0,0.416666667,0,0,52,10,3,14,27,182,14.83516502,1,7.142857075,19.49740028,60.81081009,77.5,0.851648331,29.5,16.20879173,0.625,0.000469815,6,8,14,0.035380032,0.214988427,-0.121161515,0.420595239,0.039732056,0.240760311,0.028028143,0.372287205,-0.511572189,0.073861908,0.374561988,-0.147835996,-0.036700977,0.117443374,-0.099348284,-0.096355118,0.086402462,-0.102646779,-0.20323155,0.019621559,0.024842374,-0.007586314,0.003223327,0.020321747,0.048305942,-0.07296091,0.139694254,-0.011657682,-0.023230281,0.029407046,-0.032050948,-0.088799815,1
org.apache.poi.ddf.EscherArrayProperty,15,3,0,6,37,5,2,4,14,0.904761905,434,1,0,0.535714286,0.4,1,4,27.73333333,3,1.5333,6,7,30,23.33333397,1,16.66666603,27.29636002,77.20587921,11.5,0.766666651,3.5,11.66666698,0.666666667,1.99E-06,2,4,6,0.003064176,0.176135296,-0.03977706,0.127606786,0.001741199,-0.05373286,0.057396144,0.056326065,-0.009095872,0.300272781,-0.18311201,0.177734369,-0.088984183,-0.12070642,0.336675508,0.250360511,-0.279764355,-0.065204155,0.25496653,0.019956603,-0.253136522,0.127824672,0.09789242,0.14975399,0.239316849,0.016923622,0.431350594,0.241167413,-0.11366231,0.064852621,-0.091572709,-0.014567154,1
org.apache.poi.ddf.EscherBSERecord,33,2,0,9,63,326,2,7,33,0.940217391,684,0.565217391,1,0.37254902,0.200757576,1,5,19.03030303,7,1.303,13,27,156,17.30769157,1,7.692307472,37.78162766,58.76010895,64.5,0.826923072,21.16666603,13.56837654,0.769230769,0.000289514,6,7,13,0.003259517,0.254109424,-0.053828142,0.196305399,0.05506689,0.085918251,0.029550435,0.201566435,-0.418434631,0.432726501,0.36029876,0.105034371,0.106073592,-0.105997473,-0.363932611,-0.015141487,0.170140576,0.126313004,0.226368297,-0.115330772,-0.123593829,0.010055976,0.050657193,0.091111702,-0.044284551,-0.00894716,0.001243196,0.00923359,-0.119767355,-0.143257524,-0.047889747,-0.093479917,1
org.apache.poi.ddf.EscherBitmapBlip,11,3,0,9,33,0,3,6,11,0.916666667,241,0.5,0,0.833333333,0.303030303,1,4,20.36363636,1,0.9091,9,15,72,20.83333397,1,11.11111069,31.97573662,66.8478241,28.5,0.791666687,9,12.5,0.714285714,1.64E-05,3,6,9,0.007660227,0.209249602,-0.058603491,0.204859039,0.061944003,0.046379908,0.053217918,0.269105414,-0.370641574,0.439701967,0.381704307,0.142917537,0.141869819,-0.111250727,-0.376788654,-0.018359784,0.186886954,0.14934052,0.213220375,-0.091941009,-0.108470885,0.024185828,0.023068107,0.03097173,0.016018554,0.027654848,0.053738615,-0.024413968,-0.164206386,0.037546758,-0.001478093,0.000738312,1
org.apache.poi.ddf.EscherBlipRecord,6,2,2,10,25,3,5,5,6,1.04,154,0.4,0,0.791666667,0.4,1,5,23.83333333,1,0.8333,10,25,90,27.77777863,1,10,31.97573662,64.85061646,32.5,0.722222209,2.5,2.777777672,0.692307692,8.91E-06,5,5,10,0.026203151,0.216062245,-0.078641271,0.261792903,0.070823896,0.146958171,0.049849744,0.347996915,-0.48553172,0.355084124,0.415988211,-0.0049945,0.120540585,-0.001784263,-0.281015281,-0.03369618,0.119676262,0.103541954,0.143392527,-0.070020387,-0.078864142,-0.001252589,0.021488967,0.078195668,0.011204569,0.053004051,0.08793573,0.036813706,-0.138417656,-0.042534672,-0.035365841,-0.025068153,1
org.apache.poi.ddf.EscherBlipWMFRecord,32,3,0,7,64,312,0,7,32,0.891705069,614,0.928571429,0,0.617283951,0.265625,1,5,17.75,1,0.9688,7,9,42,21.4285717,2,28.5714283,29.72270393,54.617836,16.5,0.785714269,0,0,0.733333333,0,0,7,7,1.86E-05,0.298057671,-0.061824738,0.178763928,0.029783406,0.026206956,0.096067632,0.326293576,-0.349161175,0.469521243,0.243498408,0.212982324,0.053961097,-0.089436,-0.387957164,-0.114514043,0.199736894,0.092194899,0.198065443,-0.028623291,0.023995549,0.083844189,-0.023478093,-0.055381486,0.075209729,0.042172523,0.121485656,0.044469394,-0.09404342,0.058541703,0.020826876,-0.004083172,1
org.apache.poi.ddf.EscherBoolProperty,3,3,0,6,4,1,5,1,3,2,22,0,0,0.875,0.555555556,0,0,6.333333333,2,1.3333,7,6,42,14.28571415,2,28.5714283,15.94454098,73.30677032,18,0.857142866,2,4.761904716,0.444444444,8.81E-05,6,1,7,0.00695943,0.179561036,-0.082694092,0.409580035,-0.038028901,-0.056335622,-0.030564589,-0.215832092,0.004118224,0.277240336,-0.19079291,0.041020995,-0.246770748,-0.136707413,0.428254279,0.280058921,-0.214590885,-0.163165237,0.126967091,-0.06850918,-0.251926088,0.007313541,0.080974014,0.139527476,-0.026062278,-0.192418752,0.054327321,0.082221284,0.105564703,-0.061152291,-0.137986183,-0.142209276,1
org.apache.poi.ddf.EscherChildAnchorRecord,15,2,0,6,31,43,1,5,15,0.833333333,229,0.666666667,0,0.575757576,0.333333333,1,5,13.86666667,1,0.9333,8,10,56,17.8571434,2,25,29.46273804,65.25911713,23,0.821428597,7.5,13.39285755,0.692307692,3.01E-06,3,5,8,-0.001274959,0.228425667,-0.056782621,0.214768685,0.021705401,-0.028051251,0.088207836,0.229055821,-0.281938913,0.511163474,0.193392608,0.263139707,0.065569262,-0.099262909,-0.416040378,-0.14054143,0.217789716,0.121445894,0.242762118,-0.047155203,0.059320543,0.025823349,-0.04087957,-0.076039794,0.058417755,0.058064725,0.073669365,0.154503857,-0.07162457,0.075491694,0.002435018,-0.025592866,1
org.apache.poi.ddf.EscherClientAnchorRecord,27,2,0,8,47,149,3,5,27,0.860946746,538,0.846153846,0,0.422222222,0.265432099,1,5,18.44444444,6,1.2593,11,16,110,14.54545498,2,18.18181801,30.15597916,60.62717819,47,0.854545474,15,13.63636398,0.692307692,4.56E-06,6,5,11,0.000831654,0.252334786,-0.083888824,0.359140167,0.005891302,-0.101701799,0.093319568,0.169275714,-0.226458775,0.707073366,0.133761056,0.17107518,-0.042375567,-0.081147982,-0.178555228,-0.06683291,0.173978477,0.119454602,0.173095229,-0.055865804,0.083648504,-0.017158267,-0.057723757,-0.066530603,-0.000974098,0.022491513,-0.031007908,0.054638453,0.028342769,0.07612296,0.060928095,0.044807799,1
org.apache.poi.ddf.EscherClientDataRecord,9,2,0,11,27,6,6,5,9,0.875,180,0.333333333,0,0.703703704,0.355555556,1,5,18.66666667,2,1.1111,12,15,132,11.36363602,2,16.66666603,30.50259972,58.96147537,58.5,0.886363626,19,14.39393902,0.692307692,4.47E-06,7,5,12,0.003341925,0.224917733,-0.094315671,0.429254048,-0.012667476,-0.158478423,0.078833282,0.070788008,-0.119743282,0.757768083,0.036129647,-0.00909038,-0.17015861,-0.014089268,0.175601234,0.013779172,0.050732986,0.021968107,-0.016174017,-0.036911585,0.070417129,-0.085409229,-0.047962576,-0.030788915,-0.076493818,-0.055467557,-0.1388993,-0.082231176,0.048739911,0.041440935,0.07695755,0.066688293,1
