name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
org.apache.poi.ddf.DefaultEscherRecordFactory,4,1,1,11,27,4,3,8,2,0.833333333,214,1,0,0,0.416666667,0,0,52,10,3,14.0,27.0,182.0,14.835165023803711,1.0,7.142857074737549,19.497400283813477,60.81081008911133,77.5,0.8516483306884766,29.5,16.208791732788086,0.625,0.000469814903133305,6.0,8.0,14.0,1
org.apache.poi.ddf.EscherArrayProperty,15,3,0,6,37,5,2,4,14,0.904761905,434,1,0,0.535714286,0.4,1,4,27.73333333,3,1.5333,6.0,7.0,30.0,23.33333396911621,1.0,16.66666603088379,27.29636001586914,77.20587921142578,11.5,0.7666666507720947,3.5,11.666666984558105,0.666666666666666,1.98627132208581e-06,2.0,4.0,6.0,1
org.apache.poi.ddf.EscherBSERecord,33,2,0,9,63,326,2,7,33,0.940217391,684,0.565217391,1,0.37254902,0.200757576,1,5,19.03030303,7,1.303,13.0,27.0,156.0,17.30769157409668,1.0,7.692307472229004,37.7816276550293,58.760108947753906,64.5,0.8269230723381042,21.16666603088379,13.568376541137695,0.769230769230769,0.000289513537574148,6.0,7.0,13.0,1
org.apache.poi.ddf.EscherBitmapBlip,11,3,0,9,33,0,3,6,11,0.916666667,241,0.5,0,0.833333333,0.303030303,1,4,20.36363636,1,0.9091,9.0,15.0,72.0,20.83333396911621,1.0,11.11111068725586,31.975736618041992,66.84782409667969,28.5,0.7916666865348816,9.0,12.5,0.714285714285714,1.64255022422738e-05,3.0,6.0,9.0,1
org.apache.poi.ddf.EscherBlipRecord,6,2,2,10,25,3,5,5,6,1.04,154,0.4,0,0.791666667,0.4,1,5,23.83333333,1,0.8333,10.0,25.0,90.0,27.77777862548828,1.0,10.0,31.975736618041992,64.85061645507812,32.5,0.7222222089767456,2.5,2.777777671813965,0.692307692307692,8.90988102357078e-06,5.0,5.0,10.0,1
org.apache.poi.ddf.EscherBlipWMFRecord,32,3,0,7,64,312,0,7,32,0.891705069,614,0.928571429,0,0.617283951,0.265625,1,5,17.75,1,0.9688,7.0,9.0,42.0,21.428571701049805,2.0,28.571428298950195,29.72270393371582,54.617835998535156,16.5,0.7857142686843872,0.0,0.0,0.733333333333333,0.0,0.0,7.0,7.0,1
org.apache.poi.ddf.EscherBoolProperty,3,3,0,6,4,1,5,1,3,2,22,0,0,0.875,0.555555556,0,0,6.333333333,2,1.3333,7.0,6.0,42.0,14.285714149475098,2.0,28.571428298950195,15.944540977478027,73.30677032470703,18.0,0.8571428656578064,2.0,4.761904716491699,0.444444444444444,8.81176492872903e-05,6.0,1.0,7.0,1
org.apache.poi.ddf.EscherChildAnchorRecord,15,2,0,6,31,43,1,5,15,0.833333333,229,0.666666667,0,0.575757576,0.333333333,1,5,13.86666667,1,0.9333,8.0,10.0,56.0,17.85714340209961,2.0,25.0,29.462738037109375,65.25911712646484,23.0,0.8214285969734192,7.5,13.392857551574707,0.692307692307692,3.00652378496176e-06,3.0,5.0,8.0,1
org.apache.poi.ddf.EscherClientAnchorRecord,27,2,0,8,47,149,3,5,27,0.860946746,538,0.846153846,0,0.422222222,0.265432099,1,5,18.44444444,6,1.2593,11.0,16.0,110.0,14.545454978942871,2.0,18.18181800842285,30.15597915649414,60.62717819213867,47.0,0.8545454740524292,15.0,13.636363983154297,0.692307692307692,4.55951232765841e-06,6.0,5.0,11.0,1
org.apache.poi.ddf.EscherClientDataRecord,9,2,0,11,27,6,6,5,9,0.875,180,0.333333333,0,0.703703704,0.355555556,1,5,18.66666667,2,1.1111,12.0,15.0,132.0,11.363636016845703,2.0,16.66666603088379,30.502599716186523,58.96147537231445,58.5,0.8863636255264282,19.0,14.393939018249512,0.692307692307692,4.46740237896155e-06,7.0,5.0,12.0,1
org.apache.poi.ddf.EscherComplexProperty,9,2,1,6,32,0,2,4,9,0.125,172,0,0,0.533333333,0.351851852,1,1,18,4,1.1111,6.0,8.0,30.0,26.66666603088379,1.0,16.66666603088379,27.989601135253906,78.39805603027344,11.0,0.7333333492279053,1.5,5.0,0.7,1.0020828291604e-06,2.0,4.0,6.0,1
org.apache.poi.ddf.EscherContainerRecord,11,2,0,15,46,25,9,6,11,0.957142857,366,0.142857143,0,0.655172414,0.222222222,1,6,31.63636364,3,1.8182,33.0,143.0,1056.0,13.541666984558105,1.0,3.0303030014038086,37.60831832885742,39.96316909790039,456.5,0.8645833134651184,53.53333282470703,5.06944465637207,0.714285714285714,0.000253443630927494,27.0,6.0,33.0,1
org.apache.poi.ddf.EscherDgRecord,13,2,0,8,29,34,3,5,13,0.854166667,179,0.5,0,0.612903226,0.323076923,1,5,12.46153846,1,0.9231,10.0,13.0,90.0,14.44444465637207,3.0,30.0,31.369150161743164,63.176265716552734,38.5,0.855555534362793,15.833333015441895,17.592592239379883,0.692307692307692,1.19197197762495e-05,5.0,5.0,10.0,1
org.apache.poi.ddf.EscherDggRecord,17,2,0,11,48,38,4,8,17,0.822916667,421,0.666666667,1,0.542857143,0.274509804,1,5,23.41176471,3,1.1765,11.0,10.0,110.0,9.090909004211426,4.0,36.3636360168457,34.57538986206055,53.1291618347168,50.0,0.9090909361839294,25.0,22.727272033691406,0.75,0.000252225366580567,4.0,8.0,12.0,1
org.apache.poi.ddf.EscherDump,9,1,0,8,45,36,1,8,5,2,3581,0,0,0,0.296296296,0,0,396.8888889,3,1.3333,8.0,5.0,56.0,8.928571701049805,5.0,62.5,29.20277214050293,71.39830780029297,25.5,0.9107142686843872,7.0,12.5,0.620689655172413,1.27765560717952e-05,1.0,8.0,9.0,1
org.apache.poi.ddf.EscherOptRecord,12,2,0,17,49,0,10,8,11,0.757575758,269,0.333333333,0,0.633333333,0.277777778,1,5,21.16666667,3,1.25,26.0,75.0,650.0,11.538461685180664,2.0,7.692307472229004,36.395145416259766,45.06437683105469,287.5,0.8846153616905212,90.25,13.884614944458008,0.606060606060606,0.0011070505472921,19.0,8.0,27.0,1
org.apache.poi.ddf.EscherProperties,7,1,0,6,16,9,5,1,3,1.164242424,1460,0.003636364,0,0,0.19047619,0,0,168.2857143,2,1.2857,6.0,7.0,30.0,23.33333396911621,2.0,33.33333206176758,2.4263432025909424,43.75,11.5,0.7666666507720947,5.0,16.66666603088379,1.0,0.000215698328976778,5.0,1.0,6.0,1
org.apache.poi.ddf.EscherProperty,10,1,2,14,12,3,13,1,10,0.333333333,69,1,0,0,0.34,0,0,5.8,2,1,21.0,58.0,420.0,13.809523582458496,1.0,4.761904716491699,18.197572708129883,44.871795654296875,181.0,0.8619047403335571,10.5,2.5,0.666666666666666,0.00039131334478714,20.0,1.0,21.0,1
org.apache.poi.ddf.EscherPropertyFactory,2,1,0,10,20,1,1,9,2,2,166,0,0,0,0.625,0,0,82,11,5.5,10.0,15.0,90.0,16.66666603088379,1.0,10.0,27.90294647216797,81.10831451416016,37.5,0.8333333134651184,6.5,7.222222328186035,0.764705882352941,0.000622240479684176,1.0,9.0,10.0,1
org.apache.poi.ddf.EscherPropertyMetaData,4,1,0,1,5,0,1,0,4,1.125,33,0.25,0,0,0.583333333,0,0,5.25,1,0.5,1.0,0.0,0.0,0.0,1.0,100.0,0.5199306607246399,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
org.apache.poi.ddf.EscherRGBProperty,5,3,0,4,6,0,3,1,5,2,35,0,0,0.777777778,0.466666667,0,0,6,1,0.8,5.0,3.0,20.0,15.0,2.0,40.0,14.471404075622559,83.91960144042969,8.5,0.8500000238418579,1.0,5.0,0.444444444444444,8.55468025355636e-05,4.0,1.0,5.0,1
org.apache.poi.ddf.EscherRecord,20,1,14,37,36,164,36,4,18,0.842105263,141,1,0,0,0.2375,0,0,5.95,2,1.05,54.0,246.0,2862.0,8.59538745880127,1.0,1.8518518209457397,25.649913787841797,29.540918350219727,1308.0,0.9140461087226868,112.58928680419922,3.9339373111724854,0.583333333333333,0.000426886334194677,53.0,4.0,57.0,1
org.apache.poi.ddf.EscherRecordFactory,1,1,0,21,1,0,21,1,1,2,1,0,0,0,1,0,0,0,1,1,26.0,65.0,650.0,10.0,1.0,3.846153736114502,9.618717193603516,26.241134643554688,292.5,0.8999999761581421,0.0,0.0,0.388888888888888,0.0,26.0,1.0,27.0,1
org.apache.poi.ddf.EscherSerializationListener,2,1,0,22,2,1,22,1,2,2,2,0,0,0,1,0,0,0,1,1,22.0,39.0,462.0,8.441558837890625,1.0,4.545454502105713,7.798960208892822,27.190332412719727,211.5,0.9155844449996948,0.0,0.0,0.388888888888888,0.0,22.0,1.0,23.0,1
org.apache.poi.ddf.EscherShapePathProperty,1,3,0,4,2,0,3,1,1,2,13,0,0,1,1,0,0,7,0,0,4.0,2.0,12.0,16.66666603088379,2.0,50.0,3.119584083557129,57.14285659790039,5.0,0.8333333134651184,1.0,8.333333015441895,0.444444444444444,2.50520707290102e-07,3.0,1.0,4.0,1
org.apache.poi.ddf.EscherSimpleProperty,8,2,3,13,24,0,9,4,8,0.142857143,121,1,0,0.571428571,0.375,1,1,14,5,1.25,20.0,45.0,380.0,11.8421049118042,2.0,10.0,31.19584083557129,55.214725494384766,167.5,0.8815789222717285,37.83333206176758,9.956140518188477,0.7,4.71023790681198e-05,16.0,4.0,20.0,1
