name,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
org.apache.poi.ddf.DefaultEscherRecordFactory,14.0,27.0,182.0,14.835165023803711,1.0,7.142857074737549,19.497400283813477,60.81081008911133,77.5,0.8516483306884766,29.5,16.208791732788086,0.625,0.000469814903133305,6.0,8.0,14.0,1
org.apache.poi.ddf.EscherArrayProperty,6.0,7.0,30.0,23.33333396911621,1.0,16.66666603088379,27.29636001586914,77.20587921142578,11.5,0.7666666507720947,3.5,11.666666984558105,0.666666666666666,1.98627132208581e-06,2.0,4.0,6.0,1
org.apache.poi.ddf.EscherBSERecord,13.0,27.0,156.0,17.30769157409668,1.0,7.692307472229004,37.7816276550293,58.760108947753906,64.5,0.8269230723381042,21.16666603088379,13.568376541137695,0.769230769230769,0.000289513537574148,6.0,7.0,13.0,1
org.apache.poi.ddf.EscherBitmapBlip,9.0,15.0,72.0,20.83333396911621,1.0,11.11111068725586,31.975736618041992,66.84782409667969,28.5,0.7916666865348816,9.0,12.5,0.714285714285714,1.64255022422738e-05,3.0,6.0,9.0,1
org.apache.poi.ddf.EscherBlipRecord,10.0,25.0,90.0,27.77777862548828,1.0,10.0,31.975736618041992,64.85061645507812,32.5,0.7222222089767456,2.5,2.777777671813965,0.692307692307692,8.90988102357078e-06,5.0,5.0,10.0,1
org.apache.poi.ddf.EscherBlipWMFRecord,7.0,9.0,42.0,21.428571701049805,2.0,28.571428298950195,29.72270393371582,54.617835998535156,16.5,0.7857142686843872,0.0,0.0,0.733333333333333,0.0,0.0,7.0,7.0,1
org.apache.poi.ddf.EscherBoolProperty,7.0,6.0,42.0,14.285714149475098,2.0,28.571428298950195,15.944540977478027,73.30677032470703,18.0,0.8571428656578064,2.0,4.761904716491699,0.444444444444444,8.81176492872903e-05,6.0,1.0,7.0,1
org.apache.poi.ddf.EscherChildAnchorRecord,8.0,10.0,56.0,17.85714340209961,2.0,25.0,29.462738037109375,65.25911712646484,23.0,0.8214285969734192,7.5,13.392857551574707,0.692307692307692,3.00652378496176e-06,3.0,5.0,8.0,1
org.apache.poi.ddf.EscherClientAnchorRecord,11.0,16.0,110.0,14.545454978942871,2.0,18.18181800842285,30.15597915649414,60.62717819213867,47.0,0.8545454740524292,15.0,13.636363983154297,0.692307692307692,4.55951232765841e-06,6.0,5.0,11.0,1
org.apache.poi.ddf.EscherClientDataRecord,12.0,15.0,132.0,11.363636016845703,2.0,16.66666603088379,30.502599716186523,58.96147537231445,58.5,0.8863636255264282,19.0,14.393939018249512,0.692307692307692,4.46740237896155e-06,7.0,5.0,12.0,1
