name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.velocity.Template,5,2,0,27,35,0,13,15,5,0.25,319,1,1,0.818181818,0.5,1,1,62.6,1,0.8,27,105,702,14.9572649,1,3.703703642,8.707979202,28.62849617,298.5,0.85042733,107.5500031,15.32051277,0.281776417,0.00027725,13,15,28,0.127091318,0.317577043,0.377417703,-0.066611137,-0.218967677,-0.190590573,-0.122405283,-0.338263868,-0.142141045,-0.019215999,0.133846521,-0.169750993,0.036615548,0.097104785,-0.049674118,0.128977574,0.203824663,0.125409664,0.057928999,-0.083466129,0.102883473,-0.057907784,-0.179890566,-0.136139061,-0.229483864,0.198429869,-0.219504335,0.217189093,0.076785997,0.024428225,-0.053599482,-0.309958849,1
org.apache.velocity.VelocityContext,10,3,0,7,20,3,5,2,10,0.555555556,86,1,0,0.833333333,0.38,1,4,7.4,1,0.6,7,10,42,23.80952454,1,14.28571415,3.037667036,65.21739197,16,0.761904776,5,11.90476227,0.171962617,3.04E-05,5,2,7,0.041462278,0.082065245,0.189030263,-0.2080325,-0.055680063,-0.079204347,0.072945284,-0.31829585,-0.146231929,0.04690255,0.259127782,-0.229328758,0.111598361,0.248607967,0.012092447,-0.021770702,-0.231400739,-0.135229269,-0.206877152,0.199930893,-0.189035745,-0.22160187,0.338458467,-0.146409188,-0.110858384,-0.33414667,0.079166074,0.007876031,-0.197326947,0.147834947,0.039494339,0.101317799,0
org.apache.velocity.anakia.AnakiaElement,12,3,0,8,30,64,1,7,11,1,93,1,0,0.920454545,0.606060606,1,2,6.583333333,1,0.5833,8,11,56,19.6428566,1,12.5,3.199676037,53.02013397,22.5,0.803571403,5,8.928571701,0.308285164,2.12E-05,1,7,8,0.000463811,0.001966146,0.006645091,-0.010600047,-0.004504553,-0.011792439,0.003092968,-0.050004883,-0.026355043,-0.001817666,0.065534372,-0.072193132,0.030297298,0.05376494,-0.069543753,-0.040421721,-0.030331298,-0.087199451,-0.172037206,0.410675874,0.340114943,0.447553286,0.135846818,0.388891608,-0.433177981,0.063328617,0.008123668,0.172560643,-0.02101027,-0.208205868,0.130854184,-0.042749412,0
org.apache.velocity.anakia.AnakiaJDOMFactory,5,2,0,5,10,10,1,4,5,2,32,0,0,0.862068966,0.666666667,0,0,5.4,1,0.8,5,6,20,30,1,20,2.956662655,58.87096786,7,0.699999988,2.5,12.5,0.25,4.85E-07,1,4,5,0.002188733,0.008824763,0.021770793,-0.024454464,-0.010088945,-0.019958467,0.020442334,-0.07202851,-0.022658527,-0.009271392,0.099481804,-0.075724,0.021838439,0.05161361,-0.036917008,-0.01499548,-0.124301611,-0.10982554,-0.18954025,0.313994333,0.168239138,0.336041777,0.390373851,0.230001768,-0.565978129,-0.138991689,-0.103926116,0.139270778,-0.170313223,-0.159363228,0.185145066,-0.068557388,0
org.apache.velocity.anakia.AnakiaTask,15,4,0,22,89,51,1,22,11,0.826530612,776,0.857142857,1,0.847826087,0.373333333,2,2,49.8,5,1.4667,18,21,306,6.862745285,4,22.22222137,6.196840763,52.21842957,142.5,0.931372523,13.5,4.411764622,0.246898263,5.97E-05,1,18,19,0.021109966,0.047957799,0.109160972,-0.098617603,-0.038851955,-0.086353343,0.001213979,-0.233793601,-0.121744392,0.001232729,0.204587715,-0.249447603,0.10311613,0.156456016,-0.196714048,-0.101687383,0.049684845,-0.098508018,-0.17045683,0.547588745,0.319357914,0.211650148,-0.246123522,0.160291584,0.17590549,0.180383425,0.096352611,-0.058227529,0.1502568,0.096777953,-0.155943192,0.048791254,0
org.apache.velocity.anakia.Escape,3,1,0,1,10,1,1,0,2,0.5,84,0,0,0,0.5,0,0,26.66666667,10,3.3333,1,0,0,0,1,100,0.729040086,100,0,0,0,0,0,0,1,0,1,0.003663282,0.01456189,0.035147106,-0.037553097,-0.015323375,-0.029002911,0.032137201,-0.09614918,-0.025677017,-0.014140006,0.128075748,-0.086627556,0.019551196,0.05385795,-0.023045767,-0.000183431,-0.177117973,-0.118617681,-0.187739438,0.212496355,-0.004074826,0.159554825,0.503502917,0.060362678,-0.572505852,-0.275767971,-0.157268978,0.10436233,-0.246085305,-0.043006935,0.2076465,-0.061310512,0
org.apache.velocity.anakia.NodeList,37,1,0,16,92,0,3,13,34,0.5,438,1,1,0,0.177777778,1,1,10.78378378,12,1.1351,16,27,240,11.25,1,6.25,3.361684799,30.18181801,106.5,0.887499988,20,8.333333015,0.309338521,2.53E-05,3,13,16,0.000613142,0.002495121,0.008369856,-0.013025522,-0.005574051,-0.014447392,0.002044749,-0.060389122,-0.032736122,-0.000878382,0.075569426,-0.086897345,0.038397646,0.064793688,-0.084387789,-0.051493175,-0.0134103,-0.088933277,-0.178165032,0.466991121,0.401522594,0.47589855,0.049239133,0.393833416,-0.306160395,0.119374664,0.028207689,0.122441534,0.037027683,-0.1876609,0.040397902,-0.03081911,0
org.apache.velocity.anakia.OutputWrapper,3,2,0,4,8,3,1,3,3,2,23,0,0,0.984615385,0.5,1,1,6.666666667,1,0.3333,4,4,12,33.33333206,1,25,3.078169346,74.50980377,4,0.666666687,1,8.333333015,0.431818182,6.15E-07,1,3,4,0.003663282,0.01456189,0.035147106,-0.037553097,-0.015323375,-0.029002911,0.032137201,-0.09614918,-0.025677017,-0.014140006,0.128075748,-0.086627556,0.019551196,0.05385795,-0.023045767,-0.000183431,-0.177117973,-0.118617681,-0.187739438,0.212496355,-0.004074826,0.159554825,0.503502917,0.060362678,-0.572505852,-0.275767971,-0.157268978,0.10436233,-0.246085305,-0.043006935,0.2076465,-0.061310512,0
org.apache.velocity.anakia.TreeWalker,3,1,0,3,11,3,1,2,2,2,41,0,0,0,0.666666667,0,0,12.66666667,2,1,3,2,6,33.33333206,1,33.33333206,2.916160345,79.12088013,2,0.666666687,1,16.66666603,0.244274809,4.92E-07,1,2,3,0.001920871,0.00777438,0.019217206,-0.021681392,-0.008911615,-0.017731997,0.018724401,-0.063711543,-0.019774998,-0.008774996,0.088858082,-0.066623619,0.018133915,0.044932331,-0.031948339,-0.011174281,-0.119700717,-0.102715558,-0.176796051,0.278003971,0.13689847,0.306860408,0.39556399,0.225313796,-0.595070838,-0.147558826,-0.099391058,0.162318436,-0.181581601,-0.159362407,0.222206523,-0.067681704,0
org.apache.velocity.anakia.XPathCache,3,1,0,4,8,1,3,1,0,0.5,45,1,0,0,0.5,0,0,13.66666667,2,0.6667,4,5,12,41.66666794,1,25,1.296071291,68.0851059,3.5,0.583333313,0,0,0.275132275,0,3,1,4,0.000379966,0.001654926,0.00568425,-0.00932029,-0.004018682,-0.010501389,0.002895471,-0.046217348,-0.024052662,-0.001652273,0.062203767,-0.068014737,0.028839645,0.051575008,-0.06467797,-0.038998033,-0.030387772,-0.085152316,-0.167880123,0.411416855,0.352612495,0.466625505,0.136506837,0.387160209,-0.412136578,0.068876152,-0.0001194,0.151714672,-0.021185877,-0.22596993,0.107778279,-0.048636333,0
