name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
org.apache.velocity.Template,5,2,0,27,35,0,13,15,5,0.25,319,1,1,0.818181818,0.5,1,1,62.6,1,0.8,27.0,105.0,702.0,14.95726490020752,1.0,3.7037036418914795,8.707979202270508,28.628496170043945,298.5,0.8504273295402527,107.55000305175781,15.320512771606445,0.28177641653905,0.000277249511371126,13.0,15.0,28.0,1
org.apache.velocity.VelocityContext,10,3,0,7,20,3,5,2,10,0.555555556,86,1,0,0.833333333,0.38,1,4,7.4,1,0.6,7.0,10.0,42.0,23.809524536132812,1.0,14.285714149475098,3.0376670360565186,65.21739196777344,16.0,0.761904776096344,5.0,11.904762268066406,0.171962616822429,3.03563523963255e-05,5.0,2.0,7.0,0
org.apache.velocity.anakia.AnakiaElement,12,3,0,8,30,64,1,7,11,1,93,1,0,0.920454545,0.606060606,1,2,6.583333333,1,0.5833,8.0,11.0,56.0,19.64285659790039,1.0,12.5,3.199676036834717,53.02013397216797,22.5,0.8035714030265808,5.0,8.928571701049805,0.308285163776493,2.11701270798419e-05,1.0,7.0,8.0,0
org.apache.velocity.anakia.AnakiaJDOMFactory,5,2,0,5,10,10,1,4,5,2,32,0,0,0.862068966,0.666666667,0,0,5.4,1,0.8,5.0,6.0,20.0,30.0,1.0,20.0,2.956662654876709,58.870967864990234,7.0,0.699999988079071,2.5,12.5,0.25,4.85490640396891e-07,1.0,4.0,5.0,0
org.apache.velocity.anakia.AnakiaTask,15,4,0,22,89,51,1,22,11,0.826530612,776,0.857142857,1,0.847826087,0.373333333,2,2,49.8,5,1.4667,18.0,21.0,306.0,6.86274528503418,4.0,22.22222137451172,6.196840763092041,52.21842956542969,142.5,0.9313725233078003,13.5,4.411764621734619,0.246898263027295,5.96504864377867e-05,1.0,18.0,19.0,0
org.apache.velocity.anakia.Escape,3,1,0,1,10,1,1,0,2,0.5,84,0,0,0,0.5,0,0,26.66666667,10,3.3333,1.0,0.0,0.0,0.0,1.0,100.0,0.7290400862693787,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
org.apache.velocity.anakia.NodeList,37,1,0,16,92,0,3,13,34,0.5,438,1,1,0,0.177777778,1,1,10.78378378,12,1.1351,16.0,27.0,240.0,11.25,1.0,6.25,3.361684799194336,30.18181800842285,106.5,0.887499988079071,20.0,8.333333015441895,0.309338521400778,2.53309168726633e-05,3.0,13.0,16.0,0
org.apache.velocity.anakia.OutputWrapper,3,2,0,4,8,3,1,3,3,2,23,0,0,0.984615385,0.5,1,1,6.666666667,1,0.3333,4.0,4.0,12.0,33.33333206176758,1.0,25.0,3.078169345855713,74.50980377197266,4.0,0.6666666865348816,1.0,8.333333015441895,0.431818181818181,6.15410670925636e-07,1.0,3.0,4.0,0
org.apache.velocity.anakia.TreeWalker,3,1,0,3,11,3,1,2,2,2,41,0,0,0,0.666666667,0,0,12.66666667,2,1,3.0,2.0,6.0,33.33333206176758,1.0,33.33333206176758,2.9161603450775146,79.12088012695312,2.0,0.6666666865348816,1.0,16.66666603088379,0.244274809160305,4.92328536740509e-07,1.0,2.0,3.0,0
org.apache.velocity.anakia.XPathCache,3,1,0,4,8,1,3,1,0,0.5,45,1,0,0,0.5,0,0,13.66666667,2,0.6667,4.0,5.0,12.0,41.66666793823242,1.0,25.0,1.2960712909698486,68.0851058959961,3.5,0.5833333134651184,0.0,0.0,0.275132275132275,0.0,3.0,1.0,4.0,0
