name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.xalan.Version,9,1,0,1,18,36,1,0,9,2,81,0,0,0,0.111111111,0,0,8,2,1.1111,1,0,0,0,1,100,1.774691343,100,0,0,0,0,0,0,1,0,1,0.000472871,0.076723121,0.000345937,-0.11529638,-0.018165,0.060385769,-0.103061015,-0.025928113,-0.153388778,0.107882945,-0.001039668,0.106342467,-0.000206227,0.050614866,0.086471827,0.041046028,-0.020709879,0.073641907,0.127471538,-0.081919775,-0.281537514,0.037442704,-0.309926606,-0.033454295,-0.113920795,0.005090983,-0.025535736,-0.006575122,-0.244945066,-0.750908323,-0.185602976,0.169378525,1
org.apache.xalan.client.XSLTProcessorApplet,29,5,0,2,83,298,1,2,21,0.879251701,801,0.904761905,1,0.94214876,0.344827586,3,5,25.89655172,10,1.5172,11,12,110,10.909091,3,27.27272797,12.11419773,51.98675537,49,0.890909076,10,9.090909004,0.424242424,4.02E-06,1,11,12,0.001096132,0.162392688,0.00012075,-0.291052712,-0.075104642,-0.051592158,-0.107351181,0.019802102,0.080085756,-0.062440644,0.192347949,-0.117147631,-0.012313205,0.03609961,-0.061328108,0.070500946,-0.342109498,0.059718151,0.073915529,-0.239926857,-0.307913543,0.10977219,-0.127681651,-0.026862896,-0.268363087,-0.458751363,-0.083630236,0.346231067,-0.072688198,-0.197851472,0.126038635,0.142485663,1
org.apache.xalan.extensions.ExpressionContext,7,1,0,19,7,21,17,3,7,2,7,0,0,0,0.476190476,0,0,0,1,1,23,80,506,15.81027699,1,4.347826004,21.1419754,41.29615784,213,0.841897249,44.26666641,8.748353004,0.20615942,0.000183762,17,7,24,0.00144511,0.216648943,0.001213017,-0.105300604,-0.008310511,-0.017998846,-0.189529246,-0.172840359,-0.019750522,0.0436295,-0.069512321,-0.166165111,-0.102207805,0.111350766,0.110384819,0.045977893,0.11193867,0.084466113,0.239975846,0.068136397,-0.555256152,0.120485783,-0.026877494,-0.100231892,-0.226903027,-0.332474282,-0.164234572,0.264544415,-0.013537067,0.294870838,0.134781102,-0.155347951,0
org.apache.xalan.extensions.ExpressionVisitor,2,2,0,9,11,0,1,8,2,0,53,1,1,0.923076923,0.625,0,0,25,4,2,11,27,110,24.54545403,1,9.090909004,9.529320717,45.48802948,41.5,0.75454545,4,3.636363745,0.246427025,7.74E-05,1,10,11,0.001258989,0.340496588,0.001806104,-0.07410004,-0.126318375,-0.261446729,0.162227039,-0.077756634,0.255359389,-0.185085966,0.163662663,0.119731065,0.242642785,-0.38373742,-0.187786744,-0.001196166,-0.179831123,-0.022588123,0.048275849,0.033427884,-0.045728248,0.278516524,-0.229826358,-0.014846604,0.016952258,-0.171790944,-0.369838851,-0.004460828,-0.050050704,0.20001646,0.039270911,-0.015998371,1
org.apache.xalan.extensions.ExtensionHandler,7,1,3,13,11,21,7,6,5,1,29,1,0,0,0.349206349,0,0,2.857142857,1,0.8571,16,52,240,21.66666603,1,6.25,14.23611069,51.25,94,0.783333361,35.16666794,14.65277767,0.265763662,0.000819245,9,7,16,0.000925286,0.154603307,0.000682636,-0.184829405,-0.106924124,0.048440936,-0.040518747,-0.115950322,0.002089417,0.019803965,0.006042597,-0.124986926,-0.00204579,-0.006351204,0.064310361,0.026109278,-0.076962258,0.0449429,0.206801617,0.058563947,-0.423274195,0.280010852,0.04646532,-0.080971993,-0.224946643,-0.366371778,-0.23997947,0.201103002,-0.097227127,0.515183225,0.118061843,0.007911266,1
org.apache.xalan.extensions.ExtensionHandlerExsltFunction,9,2,0,16,32,28,0,16,7,0.625,228,1,2,0.461538462,0.325,1,1,24,8,2.2222,18,81,306,26.47058868,1,5.555555344,15.89506149,30.02915382,112.5,0.735294104,0,0,0.279548798,0,0,18,18,0.002289293,0.387959252,0.001837948,-0.329663861,-0.129460136,-0.246751663,-0.039864302,-0.215819617,0.078580853,-0.025625819,-0.006375506,-0.163015864,0.058257762,-0.104036677,0.089298391,0.018478831,-0.225918221,0.02193761,0.151165518,0.061552921,-0.312159015,0.396397159,-0.114965468,0.005114975,0.071670761,0.02039276,-0.253425451,0.325396006,-0.004351959,0.165733052,0.097960873,0.016967139,1
org.apache.xalan.extensions.ExtensionHandlerGeneral,7,2,0,17,52,13,0,17,6,0.87037037,512,1,0,0.545454545,0.366666667,0,0,70.85714286,2,1,19,50,342,14.61988258,1,5.263157845,15.625,35.90425491,146,0.853801191,0,0,0.275845411,0,0,19,19,0.003417327,0.261916382,-0.002271457,-0.201123591,0.013023902,-0.151878062,-0.123029772,-0.150633181,0.047897303,-0.022063978,0.087171468,-0.255385676,-0.099098675,0.117054933,0.038948758,0.078879203,-0.276271741,0.028177299,0.126661468,-0.107088836,-0.389186711,0.234097285,0.061686692,-0.020433962,-0.170344104,-0.428647506,-0.169669493,0.050044355,-0.043325561,0.399609993,0.047649004,-0.000737951,1
org.apache.xalan.extensions.ExtensionHandlerJava,3,2,2,3,7,0,2,1,2,0.5,32,1,0,0.75,0.666666667,0,0,9,1,0.6667,3,2,6,33.33333206,1,33.33333206,0.887345672,51.11111069,2,0.666666687,0,0,0.210254519,0,2,1,3,0.000437798,0.098397236,0.000631648,-0.093793861,-0.072955616,0.064406126,-0.052176361,-0.118942323,-0.029262362,0.045826948,-0.100183758,-0.035603801,-0.047707476,0.091983304,0.115760088,0.012999397,0.179182388,0.061701106,0.175795935,0.03815973,-0.408712571,0.261350812,0.007016208,-0.072212288,-0.171827042,-0.405200028,-0.267637304,0.366914081,-0.226201917,0.380586429,0.103390037,-0.032477286,0
org.apache.xalan.extensions.ExtensionHandlerJavaClass,6,3,0,12,48,0,0,12,6,0.2,861,1,0,0.615384615,0.388888889,2,6,142.1666667,6,2,14,46,182,25.27472496,1,7.142857075,15.00771618,36.97718811,68,0.747252762,0,0,0.274772618,0,0,14,14,0.00132698,0.251698619,0.000629325,-0.232188992,-0.041631975,-0.139955066,-0.112686449,-0.27650741,0.016252883,0.022217365,0.065071685,-0.338154958,-0.041231056,0.020941316,0.070168331,0.010656065,-0.256780082,0.041222483,0.229250552,0.098074121,-0.407848427,0.212982218,0.109920399,-0.049329904,-0.173299414,-0.310454923,-0.196457353,-0.024613044,-0.123335839,0.324529442,0.037715319,-0.046314346,1
org.apache.xalan.extensions.ExtensionHandlerJavaPackage,6,3,0,13,51,3,0,13,6,2,851,0,0,0.615384615,0.388888889,2,5,140.8333333,5,1.6667,15,50,210,23.80952454,1,6.666666508,15.12345695,35.83181,80,0.761904776,0,0,0.275035937,0,0,15,15,0.001353994,0.252342951,0.00060625,-0.246210265,-0.046908434,-0.134483098,-0.116640269,-0.257578961,0.022911276,0.014983559,0.079693679,-0.330090927,-0.040432395,0.023784019,0.059702724,0.017029957,-0.27508517,0.04484616,0.223842776,0.068722687,-0.416435968,0.21334625,0.09082633,-0.049173795,-0.190175973,-0.339390525,-0.194326851,0.011777362,-0.124160016,0.288712627,0.047988102,-0.030091133,1
