name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
org.apache.xalan.Version,9,1,0,1,18,36,1,0,9,2,81,0,0,0,0.111111111,0,0,8,2,1.1111,1.0,0.0,0.0,0.0,1.0,100.0,1.7746913433074951,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
org.apache.xalan.client.XSLTProcessorApplet,29,5,0,2,83,298,1,2,21,0.879251701,801,0.904761905,1,0.94214876,0.344827586,3,5,25.89655172,10,1.5172,11.0,12.0,110.0,10.909090995788574,3.0,27.272727966308594,12.114197731018066,51.98675537109375,49.0,0.8909090757369995,10.0,9.090909004211426,0.424242424242424,4.02032677216004e-06,1.0,11.0,12.0,1
org.apache.xalan.extensions.ExpressionContext,7,1,0,19,7,21,17,3,7,2,7,0,0,0,0.476190476,0,0,0,1,1,23.0,80.0,506.0,15.810276985168457,1.0,4.34782600402832,21.14197540283203,41.29615783691406,213.0,0.8418972492218018,44.266666412353516,8.748353004455566,0.206159420289855,0.00018376154678014,17.0,7.0,24.0,0
org.apache.xalan.extensions.ExpressionVisitor,2,2,0,9,11,0,1,8,2,0,53,1,1,0.923076923,0.625,0,0,25,4,2,11.0,27.0,110.0,24.545454025268555,1.0,9.090909004211426,9.52932071685791,45.48802947998047,41.5,0.7545454502105713,4.0,3.6363637447357178,0.246427024686011,7.73667236031871e-05,1.0,10.0,11.0,1
org.apache.xalan.extensions.ExtensionHandler,7,1,3,13,11,21,7,6,5,1,29,1,0,0,0.349206349,0,0,2.857142857,1,0.8571,16.0,52.0,240.0,21.66666603088379,1.0,6.25,14.23611068725586,51.25,94.0,0.7833333611488342,35.16666793823242,14.652777671813965,0.265763661840261,0.000819244953766021,9.0,7.0,16.0,1
org.apache.xalan.extensions.ExtensionHandlerExsltFunction,9,2,0,16,32,28,0,16,7,0.625,228,1,2,0.461538462,0.325,1,1,24,8,2.2222,18.0,81.0,306.0,26.47058868408203,1.0,5.55555534362793,15.895061492919922,30.02915382385254,112.5,0.7352941036224365,0.0,0.0,0.279548798430603,0.0,0.0,18.0,18.0,1
org.apache.xalan.extensions.ExtensionHandlerGeneral,7,2,0,17,52,13,0,17,6,0.87037037,512,1,0,0.545454545,0.366666667,0,0,70.85714286,2,1,19.0,50.0,342.0,14.619882583618164,1.0,5.263157844543457,15.625,35.90425491333008,146.0,0.8538011908531189,0.0,0.0,0.275845410628019,0.0,0.0,19.0,19.0,1
org.apache.xalan.extensions.ExtensionHandlerJava,3,2,2,3,7,0,2,1,2,0.5,32,1,0,0.75,0.666666667,0,0,9,1,0.6667,3.0,2.0,6.0,33.33333206176758,1.0,33.33333206176758,0.8873456716537476,51.11111068725586,2.0,0.6666666865348816,0.0,0.0,0.210254518627812,0.0,2.0,1.0,3.0,0
org.apache.xalan.extensions.ExtensionHandlerJavaClass,6,3,0,12,48,0,0,12,6,0.2,861,1,0,0.615384615,0.388888889,2,6,142.1666667,6,2,14.0,46.0,182.0,25.27472496032715,1.0,7.142857074737549,15.007716178894043,36.97718811035156,68.0,0.7472527623176575,0.0,0.0,0.27477261847774,0.0,0.0,14.0,14.0,1
org.apache.xalan.extensions.ExtensionHandlerJavaPackage,6,3,0,13,51,3,0,13,6,2,851,0,0,0.615384615,0.388888889,2,5,140.8333333,5,1.6667,15.0,50.0,210.0,23.809524536132812,1.0,6.666666507720947,15.123456954956055,35.831809997558594,80.0,0.761904776096344,0.0,0.0,0.275035936751317,0.0,0.0,15.0,15.0,1
