name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
bsh.ASCII_UCodeESC_CharStream,27,1,0,3,40,25,3,0,21,0.529411765,1277,0.705882353,0,0,0.296296296,0,0,45.66666667,7,1.5926,3,3,6,50,1,33.33333206,9.722222328,62.5,1.5,0.5,0,0,0,0,3,0,3,0.291634135,-0.023548818,-0.552697477,-0.020764441,0.014701205,-0.006798169,0.001483344,-0.012545165,0.027970283,0.17929166,-0.4314098,0.042994573,-0.215386476,-0.085979139,-0.035250025,0.026982534,-0.195497331,0.036230804,0.038551192,0.081122349,0.097692178,-0.082701515,-0.230763397,0.224928466,-0.18419664,-0.030224554,-0.00726261,0.088226898,-0.075262759,0.195114717,-0.220521085,-0.168976432,0
bsh.BSHAllocationExpression,8,2,0,18,38,28,1,17,1,2,273,0,0,0.72,0.363636364,1,1,33.125,1,0.875,18,90,306,29.41176414,1,5.555555344,12.08333302,17.02544022,108,0.70588237,3.134523869,1.024354219,0.455621302,3.62E-06,1,17,18,0.457249777,-0.029441856,-0.310884746,-0.011988103,0.00416027,-0.003199866,0.0013738,-0.001231605,-0.001328369,-0.040734842,0.170784588,-0.029551393,0.189291679,-0.091672424,-0.031977813,0.014469568,-0.076630543,0.054626432,-0.007144664,0.103789524,0.077844123,0.014278114,0.539255833,-0.311440492,0.287325546,-0.0279872,0.18279295,-0.092795923,0.123009112,-0.242348985,0.051670592,0.020737105,0
bsh.BSHAmbiguousName,7,2,0,16,17,19,8,8,6,0.333333333,53,0,0,0.75,0.457142857,1,1,6.428571429,1,0.8571,16,79,240,32.91666794,1,6.25,11.66666698,19.04761887,80.5,0.670833349,11.03611088,4.598379612,0.405263158,5.08E-05,8,8,16,0.525952451,-0.035729938,-0.158582698,-0.009705659,0.003687974,-0.005046664,0.00300375,-0.003808828,-0.008977346,-0.063650834,0.248346481,-0.041778244,0.295225843,-0.175347468,-0.062571211,0.049360012,-0.179373096,0.017388762,0.052072187,0.001381312,-0.032618282,-0.061943491,-0.435886668,0.284319843,-0.004791502,0.190577483,-0.137587327,0.001927607,-0.117830289,0.333832075,-0.024758922,0.113305495,0
bsh.BSHArguments,2,2,0,10,6,1,5,5,1,2,30,0,0,0.947368421,0.625,0,0,14,1,0.5,10,38,90,42.22222137,1,10,10.27777767,21.20343781,26,0.577777803,0.285714298,0.317460328,0.371980676,1.13E-07,5,5,10,0.457247443,-0.034212255,-0.381740646,-0.017169865,0.012119959,-0.006575571,0.002958397,-0.010988577,0.004559014,0.025796747,0.01928644,-0.013060962,0.154183734,-0.17946405,-0.069110513,0.047483286,-0.192076666,0.028268706,0.063940381,-0.011010938,-0.028366145,-0.075272831,-0.486419404,0.274417638,0.050184901,0.274303428,-0.168488807,0.054755544,-0.147586295,0.254317856,-0.142567484,0.054407935,0
bsh.BSHArrayDimensions,4,2,0,10,21,2,2,8,3,0.555555556,176,0.333333333,0,0.857142857,0.5,1,1,42.25,1,0.75,10,37,90,41.11111069,1,10,10.83333302,20.52631569,26.5,0.588888884,3.033333302,3.370370388,0.401041667,3.15E-06,2,8,10,0.558929358,-0.039205575,-0.694704847,-0.025799857,0.018771805,-0.006852091,0.001966649,-0.0123546,0.011358017,0.069415432,-0.120063407,0.006592853,0.012683573,-0.085375662,-0.02615519,0.015855725,-0.062264793,-0.009180609,0.017174529,-0.060246214,-0.044477844,-0.015540401,-0.261856162,0.090483123,0.067051352,0.221704276,-0.071428976,0.025745933,-0.027802476,0.138083262,-0.082945074,-0.037923271,0
bsh.BSHArrayInitializer,4,2,0,10,23,6,3,7,2,2,176,0,0,0.857142857,0.583333333,1,1,43,1,0.75,10,36,90,40,1,10,10.83333302,20.96774101,27,0.600000024,3.866666555,4.29629612,0.396907216,9.83E-06,3,7,10,0.585908827,-0.042661575,-0.659423803,-0.026092788,0.016204115,-0.007390507,0.002664891,-0.01282542,0.019787895,0.116841106,-0.240227298,0.021370795,-0.075401877,-0.084935646,-0.029027334,0.017109687,-0.077509379,0.00768246,0.008968161,0.002798762,-0.000895834,-0.00733539,0.046342675,-0.071712274,0.247174134,0.226463109,0.02956542,0.003840179,0.035616832,-0.017351854,-0.044897717,-0.047776214,0
bsh.BSHAssignment,3,2,0,11,18,3,1,10,1,1,274,0,0,0.9,0.533333333,1,1,90,1,0.6667,11,34,110,30.90909004,1,9.090909004,10.41666698,19.58224487,38,0.690909088,1.116666675,1.015151501,0.401041667,6.50E-07,1,10,11,0.448203882,-0.032051793,-0.607695266,-0.02264024,0.017334561,-0.006785241,0.001996681,-0.012311739,0.011821685,0.070358594,-0.106468812,0.001041881,0.055268566,-0.167912243,-0.076638504,0.058446617,-0.220664405,0.045865203,0.090927813,0.10915451,0.022632059,-0.079392545,-0.287864538,0.254210575,-0.306855838,-0.199997454,-0.043335556,0.039995856,-0.006134441,0.00384569,0.06651612,0.058438568,0
bsh.BSHBinaryExpression,4,2,0,12,21,6,1,11,1,1,280,0,0,0.857142857,0.45,1,1,68.75,4,2.25,12,44,132,33.33333206,1,8.333333015,12.08333302,19.5505619,44,0.666666687,2.116666555,1.603535295,0.427777778,2.02E-06,1,11,12,0.508701654,-0.026941136,-0.796461505,-0.025063144,0.012809393,-0.005321421,0.001736302,-0.002537243,0.005624635,0.036007171,-0.065344724,0.001006592,-0.016026465,-0.029786072,-0.004015679,0.010150544,-0.028077075,-0.000128896,-0.021315842,0.028554561,0.016250994,0.023878838,0.226479054,-0.121121177,0.084564428,0.016605118,0.084847846,-0.051551131,0.062025645,0.021039433,0.079156395,-0.041939991,0
bsh.BSHBlock,3,2,0,14,10,3,5,9,2,2,71,0,0,0.9,0.6,1,1,22.66666667,1,0.6667,14,63,182,34.61538315,1,7.142857075,11.94444466,19.02654839,59.5,0.653846145,10.12619019,5.563840866,0.411764706,0.001006462,5,9,14,0.510907398,-0.01969695,-0.506447709,-0.008313322,0.004764438,0.003905591,-0.005497699,0.013833407,0.004142661,0.014012276,-0.140517464,0.033219789,-0.272720974,0.292450711,0.117683502,-0.073408177,0.33792345,-0.084920756,-0.078084507,-0.189969005,-0.084881125,0.094680554,-0.155714854,0.013792128,-0.201324543,-0.068148952,-0.110850523,-0.006215158,-0.08660455,0.099071698,-0.024338981,0.044240052,0
bsh.BSHCastExpression,6,2,0,16,45,15,3,13,6,2,280,0,0,0.782608696,0.229166667,1,1,45.66666667,1,0.8333,16,76,240,31.66666603,1,6.25,12.08333302,17.93814468,82,0.683333337,13.1833334,5.493055344,0.43258427,0.00012074,3,13,16,0.572801038,-0.031493682,-0.627296238,-0.020230322,0.012551597,-0.004956391,0.00157341,-0.001006691,-0.012864767,-0.083485649,0.250708939,-0.039103194,0.209527924,-0.0178685,0.00513356,-0.001589143,0.069859665,-0.046542341,-0.042599031,-0.092856674,-0.054131433,0.070696126,0.160819373,-0.141460655,0.22557073,0.118028768,0.071388249,-0.046153472,0.060522461,-0.043588382,0.055442471,-0.095290546,0
bsh.BSHForStatement,2,2,0,12,10,1,1,11,1,1.125,137,0.625,4,0.947368421,0.625,1,1,63.5,1,0.5,12,39,132,29.54545403,1,8.333333015,11.66666698,20.24096298,46.5,0.704545438,9.116666794,6.906565666,0.418478261,2.49E-05,1,11,12,0.433066002,-0.024274256,-0.633460123,-0.018968182,0.011128948,-0.003808947,0.00075167,-0.002991988,0.015558687,0.113260643,-0.330949656,0.044491128,-0.286847485,0.118268633,0.047008183,-0.021422016,0.116032085,-0.034221451,-0.021127545,-0.028148323,-0.016720162,0.022927043,-0.066754039,0.017164134,-0.329639561,-0.221332898,-0.046350049,0.004710773,0.022021614,-0.012208573,0.067833679,0.009208853,0
bsh.BSHFormalComment,1,2,0,2,2,0,1,1,1,2,6,0,0,1,1,0,0,4,0,0,2,1,2,50,1,50,8.055555344,58.58585739,0.5,0.5,0,0,0.287313433,0,1,1,2,0.287253103,-0.023648371,-0.594215205,-0.02112064,0.016673648,-0.006984969,0.001353633,-0.011691058,0.022608965,0.152634566,-0.365082533,0.03731947,-0.180549157,-0.055744771,-0.022442794,0.026026438,-0.102720635,-0.010322701,0.027326715,-0.042609848,-0.005773556,-0.033774352,-0.336470362,0.190054256,0.213328378,0.330279603,-0.070550929,0.060356271,-0.063783663,0.168380685,-0.090348255,-0.00507476,0
bsh.BSHFormalParameter,3,2,0,9,7,1,3,6,1,1,30,0,0,0.947368421,0.666666667,1,2,8,1,0.3333,9,28,72,38.88888931,1,11.11111069,11.11111069,25.47770691,22,0.611111104,2.366666555,3.287037134,0.336244541,4.57E-05,3,6,9,0.476883063,-0.024336489,-0.511317543,-0.014058007,0.006778589,-0.00296158,0.001583753,0.002250865,0.004210258,0.057972515,-0.218030064,0.038642174,-0.261402809,0.193423284,0.09205047,-0.042455109,0.224873988,-0.102669969,-0.097878197,-0.192829259,-0.09809487,0.090087563,0.022784026,-0.096460729,0.30492146,0.286970273,0.000756472,-0.094510385,-0.045772901,0.135938297,0.029840706,-0.026355661,0
