name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
bsh.ASCII_UCodeESC_CharStream,27,1,0,3,40,25,3,0,21,0.529411765,1277,0.705882353,0,0,0.296296296,0,0,45.66666667,7,1.5926,3.0,3.0,6.0,50.0,1.0,33.33333206176758,9.722222328186035,62.5,1.5,0.5,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0
bsh.BSHAllocationExpression,8,2,0,18,38,28,1,17,1,2,273,0,0,0.72,0.363636364,1,1,33.125,1,0.875,18.0,90.0,306.0,29.41176414489746,1.0,5.55555534362793,12.083333015441895,17.025440216064453,108.0,0.7058823704719543,3.134523868560791,1.0243542194366455,0.455621301775147,3.61712738122599e-06,1.0,17.0,18.0,0
bsh.BSHAmbiguousName,7,2,0,16,17,19,8,8,6,0.333333333,53,0,0,0.75,0.457142857,1,1,6.428571429,1,0.8571,16.0,79.0,240.0,32.91666793823242,1.0,6.25,11.666666984558105,19.047618865966797,80.5,0.6708333492279053,11.036110877990723,4.598379611968994,0.405263157894736,5.07605264022327e-05,8.0,8.0,16.0,0
bsh.BSHArguments,2,2,0,10,6,1,5,5,1,2,30,0,0,0.947368421,0.625,0,0,14,1,0.5,10.0,38.0,90.0,42.22222137451172,1.0,10.0,10.277777671813965,21.20343780517578,26.0,0.5777778029441833,0.2857142984867096,0.3174603283405304,0.371980676328502,1.13146835863493e-07,5.0,5.0,10.0,0
bsh.BSHArrayDimensions,4,2,0,10,21,2,2,8,3,0.555555556,176,0.333333333,0,0.857142857,0.5,1,1,42.25,1,0.75,10.0,37.0,90.0,41.11111068725586,1.0,10.0,10.833333015441895,20.526315689086914,26.5,0.5888888835906982,3.0333333015441895,3.370370388031006,0.401041666666666,3.1486679520522e-06,2.0,8.0,10.0,0
bsh.BSHArrayInitializer,4,2,0,10,23,6,3,7,2,2,176,0,0,0.857142857,0.583333333,1,1,43,1,0.75,10.0,36.0,90.0,40.0,1.0,10.0,10.833333015441895,20.967741012573242,27.0,0.6000000238418579,3.866666555404663,4.296296119689941,0.396907216494845,9.8291140448766e-06,3.0,7.0,10.0,0
bsh.BSHAssignment,3,2,0,11,18,3,1,10,1,1,274,0,0,0.9,0.533333333,1,1,90,1,0.6667,11.0,34.0,110.0,30.909090042114258,1.0,9.090909004211426,10.416666984558105,19.582244873046875,38.0,0.6909090876579285,1.1166666746139526,1.0151515007019043,0.401041666666666,6.49728851351396e-07,1.0,10.0,11.0,0
bsh.BSHBinaryExpression,4,2,0,12,21,6,1,11,1,1,280,0,0,0.857142857,0.45,1,1,68.75,4,2.25,12.0,44.0,132.0,33.33333206176758,1.0,8.333333015441895,12.083333015441895,19.550561904907227,44.0,0.6666666865348816,2.116666555404663,1.6035352945327759,0.427777777777777,2.01997934729982e-06,1.0,11.0,12.0,0
bsh.BSHBlock,3,2,0,14,10,3,5,9,2,2,71,0,0,0.9,0.6,1,1,22.66666667,1,0.6667,14.0,63.0,182.0,34.61538314819336,1.0,7.142857074737549,11.94444465637207,19.026548385620117,59.5,0.6538461446762085,10.126190185546875,5.563840866088867,0.411764705882353,0.00100646208119982,5.0,9.0,14.0,0
bsh.BSHCastExpression,6,2,0,16,45,15,3,13,6,2,280,0,0,0.782608696,0.229166667,1,1,45.66666667,1,0.8333,16.0,76.0,240.0,31.66666603088379,1.0,6.25,12.083333015441895,17.93814468383789,82.0,0.6833333373069763,13.183333396911621,5.49305534362793,0.432584269662921,0.000120739657228566,3.0,13.0,16.0,0
bsh.BSHForStatement,2,2,0,12,10,1,1,11,1,1.125,137,0.625,4,0.947368421,0.625,1,1,63.5,1,0.5,12.0,39.0,132.0,29.545454025268555,1.0,8.333333015441895,11.666666984558105,20.240962982177734,46.5,0.7045454382896423,9.116666793823242,6.9065656661987305,0.418478260869565,2.48852721187122e-05,1.0,11.0,12.0,0
bsh.BSHFormalComment,1,2,0,2,2,0,1,1,1,2,6,0,0,1,1,0,0,4,0,0,2.0,1.0,2.0,50.0,1.0,50.0,8.05555534362793,58.58585739135742,0.5,0.5,0.0,0.0,0.28731343283582,0.0,1.0,1.0,2.0,0
bsh.BSHFormalParameter,3,2,0,9,7,1,3,6,1,1,30,0,0,0.947368421,0.666666667,1,2,8,1,0.3333,9.0,28.0,72.0,38.88888931274414,1.0,11.11111068725586,11.11111068725586,25.477706909179688,22.0,0.6111111044883728,2.366666555404663,3.2870371341705322,0.336244541484716,4.56829624771303e-05,3.0,6.0,9.0,0
bsh.BSHFormalParameters,2,2,0,9,6,1,3,6,1,1,54,0,0,0.947368421,0.666666667,1,2,24.5,1,0.5,9.0,30.0,72.0,41.66666793823242,1.0,11.11111068725586,11.25,25.796178817749023,21.0,0.5833333134651184,6.7833333015441895,9.421296119689941,0.334782608695652,0.000793579062974565,3.0,6.0,9.0,0
bsh.BSHIfStatement,3,2,0,11,10,3,4,7,2,2,79,0,0,0.9,0.533333333,1,1,25.33333333,1,0.6667,11.0,39.0,110.0,35.45454406738281,1.0,9.090909004211426,10.277777671813965,20.163488388061523,35.5,0.6454545259475708,1.5595238208770752,1.4177489280700684,0.379310344827586,3.89605004505321e-06,4.0,7.0,11.0,0
