name,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness Centrality,Betweenness Centrality,in_degree,out_degree,degree,bug
bsh.ASCII_UCodeESC_CharStream,3.0,3.0,6.0,50.0,1.0,33.33333206176758,9.722222328186035,62.5,1.5,0.5,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0
bsh.BSHAllocationExpression,18.0,90.0,306.0,29.41176414489746,1.0,5.55555534362793,12.083333015441895,17.025440216064453,108.0,0.7058823704719543,3.134523868560791,1.0243542194366455,0.455621301775147,3.61712738122599e-06,1.0,17.0,18.0,0
bsh.BSHAmbiguousName,16.0,79.0,240.0,32.91666793823242,1.0,6.25,11.666666984558105,19.047618865966797,80.5,0.6708333492279053,11.036110877990723,4.598379611968994,0.405263157894736,5.07605264022327e-05,8.0,8.0,16.0,0
bsh.BSHArguments,10.0,38.0,90.0,42.22222137451172,1.0,10.0,10.277777671813965,21.20343780517578,26.0,0.5777778029441833,0.2857142984867096,0.3174603283405304,0.371980676328502,1.13146835863493e-07,5.0,5.0,10.0,0
bsh.BSHArrayDimensions,10.0,37.0,90.0,41.11111068725586,1.0,10.0,10.833333015441895,20.526315689086914,26.5,0.5888888835906982,3.0333333015441895,3.370370388031006,0.401041666666666,3.1486679520522e-06,2.0,8.0,10.0,0
bsh.BSHArrayInitializer,10.0,36.0,90.0,40.0,1.0,10.0,10.833333015441895,20.967741012573242,27.0,0.6000000238418579,3.866666555404663,4.296296119689941,0.396907216494845,9.8291140448766e-06,3.0,7.0,10.0,0
bsh.BSHAssignment,11.0,34.0,110.0,30.909090042114258,1.0,9.090909004211426,10.416666984558105,19.582244873046875,38.0,0.6909090876579285,1.1166666746139526,1.0151515007019043,0.401041666666666,6.49728851351396e-07,1.0,10.0,11.0,0
bsh.BSHBinaryExpression,12.0,44.0,132.0,33.33333206176758,1.0,8.333333015441895,12.083333015441895,19.550561904907227,44.0,0.6666666865348816,2.116666555404663,1.6035352945327759,0.427777777777777,2.01997934729982e-06,1.0,11.0,12.0,0
bsh.BSHBlock,14.0,63.0,182.0,34.61538314819336,1.0,7.142857074737549,11.94444465637207,19.026548385620117,59.5,0.6538461446762085,10.126190185546875,5.563840866088867,0.411764705882353,0.00100646208119982,5.0,9.0,14.0,0
bsh.BSHCastExpression,16.0,76.0,240.0,31.66666603088379,1.0,6.25,12.083333015441895,17.93814468383789,82.0,0.6833333373069763,13.183333396911621,5.49305534362793,0.432584269662921,0.000120739657228566,3.0,13.0,16.0,0
bsh.BSHForStatement,12.0,39.0,132.0,29.545454025268555,1.0,8.333333015441895,11.666666984558105,20.240962982177734,46.5,0.7045454382896423,9.116666793823242,6.9065656661987305,0.418478260869565,2.48852721187122e-05,1.0,11.0,12.0,0
bsh.BSHFormalComment,2.0,1.0,2.0,50.0,1.0,50.0,8.05555534362793,58.58585739135742,0.5,0.5,0.0,0.0,0.28731343283582,0.0,1.0,1.0,2.0,0
bsh.BSHFormalParameter,9.0,28.0,72.0,38.88888931274414,1.0,11.11111068725586,11.11111068725586,25.477706909179688,22.0,0.6111111044883728,2.366666555404663,3.2870371341705322,0.336244541484716,4.56829624771303e-05,3.0,6.0,9.0,0
bsh.BSHFormalParameters,9.0,30.0,72.0,41.66666793823242,1.0,11.11111068725586,11.25,25.796178817749023,21.0,0.5833333134651184,6.7833333015441895,9.421296119689941,0.334782608695652,0.000793579062974565,3.0,6.0,9.0,0
bsh.BSHIfStatement,11.0,39.0,110.0,35.45454406738281,1.0,9.090909004211426,10.277777671813965,20.163488388061523,35.5,0.6454545259475708,1.5595238208770752,1.4177489280700684,0.379310344827586,3.89605004505321e-06,4.0,7.0,11.0,0
bsh.BSHImportDeclaration,10.0,39.0,90.0,43.33333206176758,1.0,10.0,11.80555534362793,20.731706619262695,25.5,0.5666666626930237,1.0333333015441895,1.1481481790542603,0.411764705882353,1.19330976269349e-06,1.0,9.0,10.0,0
bsh.BSHLHSPrimaryExpression,11.0,43.0,110.0,39.09090805053711,1.0,9.090909004211426,10.277777671813965,20.845069885253906,33.5,0.6090909242630005,4.452381134033203,4.047618865966797,0.396907216494845,1.20252675796949e-05,3.0,8.0,11.0,0
bsh.BSHLHSPrimarySuffix,15.0,67.0,210.0,31.904762268066406,1.0,6.666666507720947,10.833333015441895,17.449665069580078,71.5,0.6809523701667786,6.059523582458496,2.8854875564575195,0.418478260869565,1.86207664677297e-05,2.0,13.0,15.0,0
bsh.BSHLiteral,7.0,16.0,42.0,38.095237731933594,1.0,14.285714149475098,10.277777671813965,23.948219299316406,13.0,0.6190476417541504,0.9166666865348816,2.182539701461792,0.377450980392156,3.27779642058654e-07,1.0,6.0,7.0,0
bsh.BSHMethodDeclaration,11.0,47.0,110.0,42.727272033691406,1.0,9.090909004211426,11.80555534362793,22.13541603088379,31.5,0.5727272629737854,3.3428571224212646,3.0389609336853027,0.425414364640884,0.000794222961393151,2.0,10.0,12.0,0
bsh.BSHMethodInvocation,12.0,46.0,132.0,34.84848403930664,1.0,8.333333015441895,11.666666984558105,20.79207992553711,43.0,0.6515151262283325,2.4833333492279053,1.8813130855560303,0.413978494623655,1.86940310220824e-06,1.0,11.0,12.0,0
bsh.BSHPrimaryExpression,8.0,25.0,56.0,44.64285659790039,1.0,12.5,10.277777671813965,23.125,15.5,0.5535714030265808,0.4000000059604645,0.7142857313156128,0.392857142857142,1.13146835863493e-07,1.0,7.0,8.0,0
bsh.BSHPrimarySuffix,17.0,82.0,272.0,30.147058486938477,1.0,5.882352828979492,12.083333015441895,17.193675994873047,95.0,0.6985294222831726,10.537302017211914,3.8740079402923584,0.4375,3.28282190394059e-05,3.0,14.0,17.0,0
bsh.BSHPrimitiveType,4.0,5.0,12.0,41.66666793823242,1.0,25.0,8.472222328186035,45.864662170410156,3.5,0.5833333134651184,0.0,0.0,0.28731343283582,0.0,3.0,1.0,4.0,0
bsh.BSHReturnStatement,9.0,20.0,72.0,27.77777862548828,1.0,11.11111068725586,10.277777671813965,21.14285659790039,26.0,0.7222222089767456,1.0833333730697632,1.5046296119689941,0.381188118811881,3.54608742833049e-07,1.0,8.0,9.0,0
bsh.BSHReturnType,8.0,22.0,56.0,39.28571319580078,1.0,12.5,10.972222328186035,26.072607040405273,17.0,0.6071428656578064,1.4500000476837158,2.5892856121063232,0.336244541484716,3.98878767098609e-05,2.0,6.0,8.0,0
bsh.BSHStatementExpressionList,7.0,16.0,42.0,38.095237731933594,1.0,14.285714149475098,10.277777671813965,22.560976028442383,13.0,0.6190476417541504,0.5833333134651184,1.3888888359069824,0.377450980392156,1.13146835863493e-07,1.0,6.0,7.0,0
bsh.BSHSwitchLabel,7.0,19.0,42.0,45.238094329833984,1.0,14.285714149475098,10.13888931274414,24.579124450683594,11.5,0.5476190447807312,0.5,1.1904761791229248,0.371980676328502,1.13146835863493e-07,2.0,5.0,7.0,0
bsh.BSHSwitchStatement,10.0,26.0,90.0,28.88888931274414,1.0,10.0,10.277777671813965,20.728290557861328,32.0,0.7111111283302307,0.949999988079071,1.0555555820465088,0.385,3.54608742833049e-07,1.0,9.0,10.0,0
bsh.BSHTernaryExpression,7.0,19.0,42.0,45.238094329833984,1.0,14.285714149475098,10.13888931274414,24.496644973754883,11.5,0.5476190447807312,0.5,1.1904761791229248,0.375609756097561,1.13146835863493e-07,1.0,6.0,7.0,0
